# r,k_smooth_cycles_per_km
1.177869748696278257e+05,1.262585738394409740e-01
1.177879129587320058e+05,1.262418170029381559e-01
1.177888510477493110e+05,1.262250601664353655e-01
1.177897891368534765e+05,1.261999249116811661e-01
1.177907272259576421e+05,1.261664112386755854e-01
1.177916653150618222e+05,1.261328975656700047e-01
1.177926034043397522e+05,1.261245191474185956e-01
1.177935414932701678e+05,1.261161407291672143e-01
1.177944795822005835e+05,1.260993838926643962e-01
1.177954176714785135e+05,1.260826270561616058e-01
1.177963557604089438e+05,1.260910054744130149e-01
1.177972938493393594e+05,1.260993838926643962e-01
1.177982319386172749e+05,1.260993838926643962e-01
1.177991700278952048e+05,1.260574918014074064e-01
1.178001081171731348e+05,1.260407349649046160e-01
1.178010462064510502e+05,1.259904644553962172e-01
1.178019842950339662e+05,1.259820860371448359e-01
1.178029223836168967e+05,1.259737076188934268e-01
1.178038604728948267e+05,1.259737076188934268e-01
1.178047985621727421e+05,1.259904644553962172e-01
1.178057366514506575e+05,1.259737076188934268e-01
1.178066747407285875e+05,1.259569507823906365e-01
1.178076128300065175e+05,1.259401939458878183e-01
1.178085509185894334e+05,1.259234371093850280e-01
1.178094890078673488e+05,1.259150586911336467e-01
1.178104270971452788e+05,1.259318155276364370e-01
1.178113651864232088e+05,1.259485723641392274e-01
1.178123032757011242e+05,1.259401939458878461e-01
1.178132413635890407e+05,1.259234371093850557e-01
1.178141794528669707e+05,1.259066802728822376e-01
1.178151175421449007e+05,1.258899234363794473e-01
1.178160556314228161e+05,1.258480313451224575e-01
1.178169937207007315e+05,1.258061392538654955e-01
1.178179318099786615e+05,1.257893824173626773e-01
1.178188698992565915e+05,1.257977608356140864e-01
1.178198079871445079e+05,1.257977608356140864e-01
1.178207460764224234e+05,1.258145176721168490e-01
1.178216841657003533e+05,1.258145176721168768e-01
1.178226222549782833e+05,1.258145176721168768e-01
1.178235603442561987e+05,1.258145176721168768e-01
1.178244984335341142e+05,1.257977608356140864e-01
1.178254365228120441e+05,1.257893824173626773e-01
1.178263746120899741e+05,1.257810039991112960e-01
1.178273127013678895e+05,1.257810039991112683e-01
1.178282507892558060e+05,1.257810039991112683e-01
1.178291888785337360e+05,1.257810039991112683e-01
1.178301269678116660e+05,1.257642471626084779e-01
1.178310650570895814e+05,1.257474903261056876e-01
1.178320031463674968e+05,1.257307334896028972e-01
1.178329412342554278e+05,1.257223550713515159e-01
1.178338793221433589e+05,1.257223550713514881e-01
1.178348174128112732e+05,1.257223550713514881e-01
1.178357555034791876e+05,1.257223550713514881e-01
1.178366935913671186e+05,1.257307334896028972e-01
1.178376316792550497e+05,1.257223550713515159e-01
1.178385697699229640e+05,1.257223550713514881e-01
1.178395078605908784e+05,1.257139766531001068e-01
1.178404459484788094e+05,1.256972198165973165e-01
1.178413840363667405e+05,1.256972198165973165e-01
1.178423221242546570e+05,1.256972198165973165e-01
1.178432602149225713e+05,1.257055982348487255e-01
1.178441983055905002e+05,1.257139766531001068e-01
1.178451363934784313e+05,1.257139766531001068e-01
1.178460744813663478e+05,1.257139766531001068e-01
1.178470125720342621e+05,1.257139766531001068e-01
1.178479506627021910e+05,1.257139766531001068e-01
1.178488887505901221e+05,1.257139766531001068e-01
1.178498268384780386e+05,1.257223550713515159e-01
1.178507649263659550e+05,1.257223550713514881e-01
1.178517030170338840e+05,1.257223550713514881e-01
1.178526411077018129e+05,1.257223550713514881e-01
1.178535791955897294e+05,1.257223550713514881e-01
1.178545172834776458e+05,1.257223550713514881e-01
1.178554553713655769e+05,1.257223550713514881e-01
1.178563934620335058e+05,1.257139766531001068e-01
1.178573315527014202e+05,1.257055982348486978e-01
1.178582696405893366e+05,1.256888413983459074e-01
1.178592077284772677e+05,1.256888413983459074e-01
1.178601458191451966e+05,1.256972198165973165e-01
