# r,k_smooth_cycles_per_km
1.178012671814211353e+05,3.970741869793759093e-01
1.178021161839215783e+05,3.834006083930945330e-01
1.178029651864220214e+05,3.697186513885616921e-01
1.178038141890067782e+05,3.560366943840289067e-01
1.178046631914229074e+05,3.423798726342502929e-01
1.178055121938390366e+05,3.287146724662203257e-01
1.178063611964237789e+05,3.150410938799388938e-01
1.178072101990085212e+05,3.013675152936574619e-01
1.178080592015932780e+05,2.877274503803816663e-01
1.178089082041780348e+05,2.740454933758489364e-01
1.178097572067627625e+05,2.603886716260703782e-01
1.178106062090102932e+05,2.467234714580402999e-01
1.178114552115950355e+05,2.318517790618090102e-01
1.178123042141797778e+05,2.180860378747622175e-01
1.178131532167645346e+05,2.043957024519780230e-01
1.178140022193492914e+05,1.907053670291937730e-01
1.178148512219340337e+05,1.770066531881581973e-01
1.178157002245187759e+05,1.633079393471225937e-01
1.178165492271035182e+05,1.510754487000816049e-01
1.178173982296882605e+05,1.383067392849511856e-01
1.178182472315985651e+05,1.259318155276364370e-01
1.178190962341833074e+05,1.259234371093850280e-01
1.178199452367680497e+05,1.259401939458878461e-01
1.178207942393528065e+05,1.259569507823906087e-01
1.178216432426120155e+05,1.259737076188934268e-01
1.178224922445222910e+05,1.259569507823906365e-01
1.178233412464325811e+05,1.259485723641392274e-01
1.178241902496917901e+05,1.260072212918990076e-01
1.178250392529509991e+05,1.259988428736476263e-01
1.178258882548612892e+05,1.259737076188934268e-01
1.178267372567715793e+05,1.259904644553962172e-01
1.178275862600307883e+05,1.259737076188934268e-01
1.178284352619410784e+05,1.259653292006420178e-01
1.178292842638513539e+05,1.259485723641392274e-01
1.178301332671105629e+05,1.259401939458878183e-01
1.178309822703697719e+05,1.259485723641392274e-01
1.178318312722800620e+05,1.259653292006420178e-01
1.178326802741903521e+05,1.259569507823906365e-01
1.178335292774495611e+05,1.259485723641392274e-01
1.178343782807087700e+05,1.259401939458878461e-01
1.178352272826190456e+05,1.259318155276364370e-01
1.178360762845293357e+05,1.259485723641392274e-01
1.178369252877885447e+05,1.259653292006420178e-01
1.178377742896988348e+05,1.259569507823906365e-01
1.178386232916091249e+05,1.259485723641392274e-01
1.178394722948683338e+05,1.259401939458878461e-01
1.178403212981275428e+05,1.259904644553962172e-01
1.178411703000378329e+05,1.260072212918990076e-01
1.178420193019481085e+05,1.259569507823906087e-01
1.178428683052073175e+05,1.259737076188934268e-01
1.178437173084665264e+05,1.259653292006420455e-01
1.178445663117257354e+05,1.259820860371448359e-01
1.178454153149849590e+05,1.260323565466532070e-01
1.178462643155463156e+05,1.260491133831560251e-01
1.178471133161076723e+05,1.260658702196587877e-01
1.178479623193668813e+05,1.260826270561616058e-01
1.178488113226260903e+05,1.260742486379102245e-01
1.178496603258852992e+05,1.260910054744130149e-01
1.178505093291445228e+05,1.261328975656699769e-01
1.178513583324037318e+05,1.261496544021727950e-01
1.178522073329650884e+05,1.261580328204241763e-01
1.178530563335264451e+05,1.261747896569269667e-01
1.178539053367856541e+05,1.262166817481839842e-01
1.178547543400448631e+05,1.262083033299325752e-01
1.178556033433040720e+05,1.262501954211895649e-01
1.178564523465632810e+05,1.262669522576923553e-01
1.178573013498225046e+05,1.263591148584577439e-01
1.178581503503838612e+05,1.263172227672007542e-01
1.178589993509452179e+05,1.264345206227203144e-01
1.178598483542044269e+05,1.264261422044689331e-01
1.178606973574636359e+05,1.264177637862175241e-01
1.178615463607228448e+05,1.264093853679661150e-01
1.178623953639820684e+05,1.264764127139773042e-01
1.178632443672412774e+05,1.264345206227203144e-01
1.178640933705004863e+05,1.264261422044689054e-01
1.178649423710618430e+05,1.264177637862175241e-01
1.178657913716231997e+05,1.264093853679661428e-01
1.178666403748824087e+05,1.265015479687315036e-01
1.178674893781416176e+05,1.264680342957258952e-01
1.178683383814008266e+05,1.264261422044689054e-01
1.178691873846600502e+05,1.264931695504800946e-01
1.178700363879192591e+05,1.264847911322287133e-01
1.178708853884806158e+05,1.267110084250164526e-01
1.178717343890419725e+05,1.269037120447986111e-01
1.178725833923011814e+05,1.271299293375863504e-01
1.178734323955603904e+05,1.270880372463293329e-01
1.178742813988196140e+05,1.273142545391170999e-01
1.178751304020788230e+05,1.274566876493908596e-01
1.178759794053380319e+05,1.277415538699383790e-01
1.178768284058993886e+05,1.278337164707037676e-01
1.178776774064607453e+05,1.282023668737652666e-01
1.178785264097199542e+05,1.285710172768267934e-01
1.178793754129791632e+05,1.288139914061173508e-01
1.178802244162383722e+05,1.297356174137710982e-01
1.178810734194975958e+05,1.307410276039388530e-01
1.178819224227568047e+05,1.308667038777098224e-01
