# r,k_smooth_cycles_per_km
1.178920133346672374e+05,1.410213467984040847e-01
1.178931887939591252e+05,1.439370363498905792e-01
1.178943642529673525e+05,1.471962410496844009e-01
1.178955397119755798e+05,1.504554457494781949e-01
1.178967151712674531e+05,1.537146504492719612e-01
1.178978906302756805e+05,1.573089918791216735e-01
1.178990660895675828e+05,1.607525217804462170e-01
1.179002415488594561e+05,1.641960516817707605e-01
1.179014170075840084e+05,1.676395815830952762e-01
1.179025924668759108e+05,1.712841935224533874e-01
1.179037679261677986e+05,1.751717795911019726e-01
1.179049433848923363e+05,1.785734174011695541e-01
1.179061188441842387e+05,1.821677588310192664e-01
1.179072943034761265e+05,1.860804801544220788e-01
1.179084697622006788e+05,1.897502273485343893e-01
1.179096452209252166e+05,1.917778045653726893e-01
1.179108206807844690e+05,1.937634896909539994e-01
1.179119961406436923e+05,1.964780972044069263e-01
1.179131715993682446e+05,1.988827032425581620e-01
1.179143470580927969e+05,2.006002789840947431e-01
1.179155225168173492e+05,2.019659611590726156e-01
1.179166979766765726e+05,2.033065080792962609e-01
1.179178734365358250e+05,2.046470549995199339e-01
1.179190488952603628e+05,2.057697630452072490e-01
1.179202243539849151e+05,2.066578753798554435e-01
1.179213998127094528e+05,2.075459877145036103e-01
1.179225752714340051e+05,2.082078827563640655e-01
1.179237507312932430e+05,2.087524799427049049e-01
1.179249261911524809e+05,2.092970771290457721e-01
1.179261016510117188e+05,2.101684326271911485e-01
1.179272771097362565e+05,2.107968139960459952e-01
1.179284525684608088e+05,2.111822212356102568e-01
1.179296280271853611e+05,2.120451983155042519e-01
1.179308034859099134e+05,2.125227681558339576e-01
1.179319789446344657e+05,2.130087164144150169e-01
1.179331544033590035e+05,2.134108804904821244e-01
1.179343298643529270e+05,2.140811539505939609e-01
1.179355053230774647e+05,2.146257511369348558e-01
1.179366807818020170e+05,2.145252101179180859e-01
1.179378562405265693e+05,2.149944015399963548e-01
1.179390316992511216e+05,2.154635929620746237e-01
1.179402071602450451e+05,2.157149455096165624e-01
1.179413826189695974e+05,2.157568376008735800e-01
1.179425580776941497e+05,2.157903512738791607e-01
1.179437335364187020e+05,2.158238649468847414e-01
1.179449089951432397e+05,2.159579196389070921e-01
1.179460844561371632e+05,2.162176506047004398e-01
