# r,k_smooth_cycles_per_km
1.168985666902236990e+05,1.260658702196587877e-01
1.168997451513617707e+05,1.260742486379101968e-01
1.169009236123587471e+05,1.260574918014074064e-01
1.169021020732146280e+05,1.260658702196588155e-01
1.169032805343527143e+05,1.260574918014074064e-01
1.169044589952085953e+05,1.260491133831559973e-01
1.169056374563466816e+05,1.260742486379101968e-01
1.169068159177669586e+05,1.260574918014074064e-01
1.169079943786228396e+05,1.260658702196588155e-01
1.169091728394787206e+05,1.260491133831560251e-01
1.169103513003346015e+05,1.260407349649046160e-01
1.169115297611904825e+05,1.260491133831560251e-01
1.169127082226107595e+05,1.260072212918990353e-01
1.169138866834666405e+05,1.260155997101504166e-01
1.169150651437581109e+05,1.259820860371448081e-01
1.169162436057427985e+05,1.259904644553962172e-01
1.169174220677274861e+05,1.260072212918990076e-01
1.169186005285833671e+05,1.259569507823906365e-01
1.169197789894392481e+05,1.259569507823906365e-01
1.169209574502951291e+05,1.259569507823906365e-01
1.169221359111510101e+05,1.259234371093850280e-01
1.169233143720068911e+05,1.259234371093850280e-01
1.169244928328627720e+05,1.259066802728822376e-01
1.169256712937186530e+05,1.259150586911336467e-01
1.169268497545745340e+05,1.258899234363794473e-01
1.169280282154304150e+05,1.259066802728822376e-01
1.169292066762862960e+05,1.259066802728822376e-01
1.169303851382709690e+05,1.258731665998766569e-01
1.169315636002556566e+05,1.258815450181280382e-01
1.169327420599827310e+05,1.258647881816252478e-01
1.169339205197098054e+05,1.258731665998766569e-01
1.169350989805656864e+05,1.258731665998766569e-01
1.169362774414215673e+05,1.258564097633738388e-01
1.169374559022774483e+05,1.258564097633738388e-01
1.169386343653909425e+05,1.258564097633738388e-01
1.169398128285044368e+05,1.258647881816252478e-01
1.169409912893603178e+05,1.258647881816252478e-01
1.169421697502161987e+05,1.258480313451224575e-01
1.169433482110720652e+05,1.258396529268710484e-01
1.169445266719279462e+05,1.258396529268710484e-01
1.169457051327838271e+05,1.258396529268710484e-01
1.169468835936397081e+05,1.258396529268710484e-01
1.169480620544955891e+05,1.258396529268710484e-01
1.169492405153514701e+05,1.258396529268710484e-01
1.169504189762073511e+05,1.258396529268710484e-01
1.169515974370632321e+05,1.258480313451224575e-01
1.169527758979191130e+05,1.258312745086196394e-01
1.169539543587749940e+05,1.258312745086196394e-01
1.169551328196308750e+05,1.258312745086196394e-01
1.169563112804867560e+05,1.258312745086196394e-01
1.169574897413426224e+05,1.258312745086196394e-01
1.169586682021985034e+05,1.258312745086196394e-01
1.169598466630543844e+05,1.258312745086196394e-01
1.169610251239102654e+05,1.258312745086196394e-01
1.169622035847661464e+05,1.258312745086196394e-01
1.169633820456220274e+05,1.258312745086196394e-01
1.169645605064779083e+05,1.258228960903682581e-01
1.169657389673337893e+05,1.258228960903682581e-01
1.169669174304472836e+05,1.258228960903682581e-01
1.169680958935607778e+05,1.258312745086196394e-01
1.169692743544166588e+05,1.258312745086196394e-01
1.169704528152725252e+05,1.258228960903682581e-01
1.169716312738707929e+05,1.258145176721168490e-01
1.169728097347266739e+05,1.258145176721168490e-01
1.169739881955825549e+05,1.258061392538654677e-01
1.169751666564384359e+05,1.258061392538654677e-01
1.169763451172943169e+05,1.258228960903682581e-01
1.169775235781501979e+05,1.258145176721168490e-01
1.169787020390060788e+05,1.258145176721168768e-01
1.169798804998619598e+05,1.258061392538654677e-01
1.169810589607178408e+05,1.258061392538654677e-01
1.169822374215737218e+05,1.258061392538654677e-01
1.169834158869448293e+05,1.257977608356140586e-01
1.169845943478007102e+05,1.257977608356140864e-01
1.169857728086565767e+05,1.344694237258109437e-01
1.169869512695124577e+05,1.431410866160078010e-01
1.169881297303683386e+05,1.516116674681710630e-01
1.169893081912242196e+05,1.601157619933399612e-01
1.169904866520801006e+05,1.685779644272518696e-01
1.169916651129359816e+05,1.770401668611637780e-01
1.169928435737918626e+05,1.857285865878633979e-01
1.169940220346477436e+05,1.941824106035238973e-01
1.169952004955036246e+05,2.026446130374358334e-01
1.169963789563595055e+05,2.117938457679623410e-01
1.169975574172153865e+05,2.209347000802374672e-01
1.169987358780712530e+05,2.302263659210377622e-01
1.169999143389271339e+05,2.393420849785586890e-01
1.170010927997830149e+05,2.486421292376103931e-01
1.170022712606388959e+05,2.577410914586285018e-01
1.170034497214947769e+05,2.667227558241270780e-01
1.170046281823506579e+05,2.757127986078770632e-01
1.170058066432065389e+05,2.848368960836493713e-01
1.170069851040624199e+05,2.939358583046675077e-01
1.170081635649183008e+05,3.030431989439370533e-01
1.170093420257741818e+05,3.124102705489999465e-01
1.170105204866300628e+05,3.128710835528268341e-01
1.170116989474859292e+05,3.133318965566537218e-01
1.170128774128570367e+05,3.138764937429945889e-01
1.170140558737129177e+05,3.144881182753466176e-01
1.170152343345687987e+05,3.151332564807043379e-01
1.170164127954246796e+05,3.153259601004864687e-01
1.170175912562805606e+05,3.156275831575368063e-01
1.170187697171364416e+05,3.161638019256262644e-01
1.170199481779923226e+05,3.168256969674866919e-01
1.170211266388482036e+05,3.168005617127325202e-01
1.170223050997040846e+05,3.076513289822059294e-01
1.170234835605599656e+05,2.983596631414056066e-01
1.170246620214158465e+05,2.892355656656332430e-01
1.170258404822717130e+05,2.799522782430843848e-01
1.170270189431275940e+05,2.708700728585690665e-01
1.170281974039834749e+05,2.618800300748190812e-01
1.170293758648393559e+05,2.528899872910691515e-01
1.170305543256952369e+05,2.437575113970454066e-01
1.170317327865511179e+05,2.347004412672842877e-01
1.170329112474069989e+05,2.256433711375231410e-01
1.170340897082628799e+05,2.163014347872144749e-01
1.170352681691187609e+05,2.071940941479449294e-01
1.170364466299746418e+05,1.980699966721725658e-01
1.170376250908305228e+05,1.890631970519197902e-01
1.170388035516864038e+05,1.799642348309016537e-01
1.170399820170575113e+05,1.708568941916321082e-01
1.170411604779133922e+05,1.622438802291950588e-01
1.170423389387692587e+05,1.532454590271936645e-01
1.170435173996251397e+05,1.442470378251923258e-01
1.170446958604810206e+05,1.351229403494199621e-01
1.170458743258521281e+05,1.259988428736476263e-01
1.170470527867080091e+05,1.259988428736476263e-01
1.170482312430486636e+05,1.260491133831560251e-01
1.170494096993893181e+05,1.260574918014074064e-01
1.170505881647604256e+05,1.260491133831560251e-01
1.170517666301315330e+05,1.260323565466532070e-01
1.170529450864721730e+05,1.260323565466532070e-01
1.170541235428128275e+05,1.260323565466532070e-01
1.170553020081839350e+05,1.260407349649046160e-01
1.170564804735550424e+05,1.259988428736476263e-01
1.170576589298956969e+05,1.259653292006420178e-01
1.170588373862363514e+05,1.259485723641392274e-01
1.170600158516074589e+05,1.259401939458878461e-01
1.170611943169785663e+05,1.259653292006420178e-01
1.170623727733192209e+05,1.259485723641392274e-01
1.170635512296598754e+05,1.259318155276364370e-01
1.170647296950309828e+05,1.259485723641392552e-01
1.170659081604020903e+05,1.259318155276364648e-01
1.170670866167427448e+05,1.259820860371448359e-01
1.170682650730833848e+05,1.259820860371448359e-01
1.170694435384544922e+05,1.259820860371448359e-01
1.170706220038255997e+05,1.259820860371448359e-01
1.170718004601662542e+05,1.259988428736476263e-01
1.170729789255373616e+05,1.259653292006420455e-01
1.170741573909084691e+05,1.259569507823906365e-01
1.170753358472491236e+05,1.259234371093850557e-01
1.170765143035897781e+05,1.259318155276364370e-01
1.170776927689608856e+05,1.259401939458878461e-01
1.170788712343319930e+05,1.259401939458878461e-01
1.170800496906726476e+05,1.259318155276364370e-01
1.170812281470132875e+05,1.259234371093850557e-01
1.170824066123843950e+05,1.259150586911336467e-01
1.170835850777555024e+05,1.259066802728822654e-01
1.170847635340961569e+05,1.259066802728822376e-01
1.170859419904368115e+05,1.258647881816252478e-01
1.170871204558079189e+05,1.258647881816252478e-01
1.170882989211790264e+05,1.258815450181280382e-01
1.170894773775196809e+05,1.258647881816252756e-01
1.170906558338603354e+05,1.258396529268710762e-01
1.170918342992314429e+05,1.257893824173626773e-01
1.170930127646025503e+05,1.257893824173626773e-01
1.170941912209432048e+05,1.257893824173626773e-01
1.170953696772838448e+05,1.257893824173626773e-01
1.170965481426549522e+05,1.258061392538654955e-01
1.170977266080260597e+05,1.257977608356140864e-01
1.170989050643667142e+05,1.258061392538654677e-01
1.171000835297378217e+05,1.258312745086196671e-01
1.171012619951089291e+05,1.258228960903682581e-01
1.171024404514495836e+05,1.258145176721168768e-01
1.171036189077902382e+05,1.258228960903682858e-01
1.171047973731613456e+05,1.258312745086196671e-01
1.171059758385324531e+05,1.258396529268710762e-01
1.171071542948731076e+05,1.258312745086196671e-01
1.171083327512137475e+05,1.258396529268710484e-01
1.171095112165848550e+05,1.258396529268710484e-01
1.171106896819559624e+05,1.258396529268710484e-01
1.171118681382966170e+05,1.258480313451224575e-01
1.171130465946372715e+05,1.258312745086196671e-01
1.171142250600083789e+05,1.258228960903682581e-01
1.171154035253794864e+05,1.258145176721168768e-01
1.171165819817201409e+05,1.258312745086196671e-01
1.171177604380607954e+05,1.258480313451224575e-01
1.171189389034319029e+05,1.258480313451224575e-01
1.171201173688030103e+05,1.258480313451224575e-01
1.171212958251436648e+05,1.258145176721168768e-01
1.171224742814843194e+05,1.258061392538654677e-01
1.171236527468554123e+05,1.257977608356140864e-01
1.171248312122265197e+05,1.257726255808598870e-01
1.171260096685671742e+05,1.257726255808598870e-01
1.171271881249078288e+05,1.257810039991112960e-01
1.171283665902789362e+05,1.257810039991112960e-01
1.171295450556500437e+05,1.257726255808598870e-01
1.171307235119906982e+05,1.257642471626084779e-01
1.171319019773618056e+05,1.257642471626084779e-01
1.171330804427329131e+05,1.257558687443570966e-01
1.171342588990735676e+05,1.257391119078542785e-01
1.171354373554142076e+05,1.257474903261056876e-01
1.171366158207853150e+05,1.257391119078542785e-01
1.171377942861564225e+05,1.257391119078542785e-01
1.171389727424970770e+05,1.257558687443570689e-01
1.171401511988377315e+05,1.257642471626084779e-01
1.171413296642088389e+05,1.257474903261056876e-01
1.171425081295799464e+05,1.257307334896028972e-01
1.171436865859206009e+05,1.257391119078543062e-01
1.171448650422612554e+05,1.257474903261056876e-01
1.171460435076323629e+05,1.257474903261056876e-01
1.171472219730034703e+05,1.257474903261056876e-01
1.171484004293441249e+05,1.257474903261056876e-01
1.171495788856847794e+05,1.257558687443570966e-01
1.171507573510558868e+05,1.257642471626084779e-01
1.171519358164269943e+05,1.257558687443570689e-01
1.171531142727676342e+05,1.257474903261056876e-01
1.171542927291082888e+05,1.257474903261056876e-01
1.171554711944793962e+05,1.257474903261056876e-01
1.171566496598505037e+05,1.257474903261056876e-01
1.171578281161911582e+05,1.257391119078543062e-01
1.171590065815622656e+05,1.257307334896028972e-01
1.171601850469333731e+05,1.257223550713514881e-01
1.171613635032740276e+05,1.257307334896028972e-01
1.171625419596146821e+05,1.257391119078543062e-01
1.171637204249857896e+05,1.257307334896028972e-01
1.171648988903568825e+05,1.257223550713514881e-01
1.171660773466975370e+05,1.257223550713514881e-01
1.171672558030381915e+05,1.257307334896028972e-01
1.171684342684092990e+05,1.257391119078542785e-01
1.171696127337804064e+05,1.257474903261056876e-01
1.171707911901210609e+05,1.257558687443570966e-01
1.171719696464617155e+05,1.257642471626084779e-01
1.171731481118328229e+05,1.257810039991112683e-01
1.171743265772039304e+05,1.257893824173626773e-01
1.171755050335445849e+05,1.257810039991112960e-01
1.171766834898852394e+05,1.257893824173627051e-01
1.171778619552563468e+05,1.257977608356140864e-01
1.171790404206274543e+05,1.257977608356140864e-01
1.171802188769680943e+05,1.257977608356140864e-01
1.171813973333087488e+05,1.257977608356140864e-01
1.171825757986798562e+05,1.258061392538654677e-01
1.171837542640509637e+05,1.258228960903682581e-01
1.171849327203916182e+05,1.258228960903682581e-01
1.171861111857627257e+05,1.258145176721168768e-01
1.171872896511338331e+05,1.258061392538654677e-01
1.171884681074744876e+05,1.257977608356140586e-01
1.171896465638151421e+05,1.258061392538654677e-01
1.171908250291862496e+05,1.258061392538654677e-01
1.171920034945573570e+05,1.258061392538654677e-01
1.171931819508979970e+05,1.257893824173626773e-01
1.171943604072386515e+05,1.257810039991112683e-01
1.171955388726097590e+05,1.257810039991112683e-01
1.171967173379808664e+05,1.257726255808598870e-01
1.171978958033519739e+05,1.257642471626084779e-01
1.171990742596926284e+05,1.257558687443570689e-01
1.172002527160332829e+05,1.257977608356140586e-01
1.172014311723739374e+05,1.258145176721168768e-01
1.172026096287145920e+05,1.258061392538654677e-01
1.172037881031161523e+05,1.258145176721168768e-01
1.172049665594568069e+05,1.258312745086196671e-01
1.172061450157974468e+05,1.258480313451224575e-01
1.172073234901990218e+05,1.258731665998766569e-01
1.172085019465396763e+05,1.258899234363794750e-01
1.172096804028803163e+05,1.258983018546308563e-01
1.172108588592209708e+05,1.259066802728822654e-01
1.172120373155616253e+05,1.259150586911336744e-01
1.172132157899631857e+05,1.259150586911336467e-01
1.172143942463038402e+05,1.259485723641392552e-01
1.172155727026444947e+05,1.259569507823906365e-01
1.172167511770460551e+05,1.259737076188934268e-01
1.172179296333866951e+05,1.259988428736476263e-01
1.172191080897273496e+05,1.259988428736476263e-01
1.172202865641289245e+05,1.259904644553962172e-01
1.172214650204695645e+05,1.259904644553962172e-01
1.172226434768102190e+05,1.260072212918990076e-01
1.172238219331508735e+05,1.259988428736476263e-01
1.172250003894915280e+05,1.259653292006420455e-01
1.172261788638930884e+05,1.259569507823906365e-01
1.172273573202337429e+05,1.259820860371448359e-01
1.172285357765743975e+05,1.259988428736476263e-01
1.172297142509759578e+05,1.260323565466532070e-01
1.172308927073166124e+05,1.260239781284018257e-01
1.172320711636572669e+05,1.260155997101504166e-01
1.172332496199979214e+05,1.260072212918990353e-01
1.172344280763385614e+05,1.260239781284018257e-01
1.172356065507401363e+05,1.260155997101504166e-01
1.172367850070807908e+05,1.260155997101504166e-01
1.172379634634214308e+05,1.260239781284017979e-01
1.172391419378229912e+05,1.259904644553962172e-01
1.172403203941636457e+05,1.259904644553962172e-01
1.172414988505043002e+05,1.259904644553962172e-01
1.172426773068449547e+05,1.259737076188934268e-01
1.172438557631856092e+05,1.259737076188934268e-01
1.172450342375871696e+05,1.259820860371448081e-01
1.172462126939278096e+05,1.259904644553962172e-01
1.172473911502684641e+05,1.259820860371448081e-01
1.172485696246700245e+05,1.259820860371448081e-01
1.172497480810106790e+05,1.259737076188933991e-01
1.172509265373513335e+05,1.259653292006420178e-01
1.172521050117528939e+05,1.259485723641392274e-01
1.172532834680935484e+05,1.259234371093850280e-01
1.172544619244342030e+05,1.258731665998766569e-01
1.172556403807748575e+05,1.258647881816252478e-01
1.172568188371155120e+05,1.258647881816252756e-01
1.172579973115170724e+05,1.258480313451224575e-01
1.172591757678577269e+05,1.258228960903682581e-01
1.172603542241983814e+05,1.258228960903682581e-01
1.172615326985999418e+05,1.258145176721168768e-01
1.172627111549405963e+05,1.258145176721168768e-01
1.172638896112812363e+05,1.258145176721168768e-01
1.172650680676218908e+05,1.258145176721168768e-01
1.172662465239625453e+05,1.257893824173626773e-01
1.172674249983641057e+05,1.257893824173626773e-01
1.172686034547047602e+05,1.257893824173626773e-01
1.172697819110454147e+05,1.257810039991112683e-01
1.172709603854469751e+05,1.257726255808598592e-01
1.172721388417876296e+05,1.257558687443570689e-01
1.172733172981282842e+05,1.257642471626084779e-01
1.172744957725298445e+05,1.257642471626084779e-01
1.172756742288704845e+05,1.257558687443570689e-01
1.172768526852111390e+05,1.257474903261056876e-01
1.172780311415517936e+05,1.257474903261056876e-01
1.172792095978924481e+05,1.357848353912803896e-01
1.172803880722940085e+05,1.458221804564550916e-01
1.172815665286346630e+05,1.551892520615179571e-01
1.172827449849753175e+05,1.645730805030836685e-01
1.172839234593768779e+05,1.739736657811521425e-01
1.172851019157175324e+05,1.838853345725558475e-01
1.172862803720581869e+05,1.937970033639595802e-01
1.172874588283988414e+05,2.038259700108829009e-01
1.172886372847394814e+05,2.137208819657838710e-01
1.172898157591410563e+05,2.231047104073495269e-01
1.172909942154817109e+05,2.324969172671665918e-01
1.172921726718223508e+05,2.419142593817378839e-01
1.172933511462239112e+05,2.513064662415549488e-01
1.172945296025645657e+05,2.610086745766737604e-01
1.172957080589052202e+05,2.703841245999880627e-01
1.172968865152458748e+05,2.803544423191515200e-01
1.172980649715865293e+05,2.902409758558010533e-01
1.172992434459880897e+05,3.002699425027243740e-01
1.173004219023287296e+05,3.105670185336923961e-01
1.173016003586693841e+05,3.205624715076101361e-01
1.173027788330709591e+05,3.308511691203268601e-01
1.173039572894115990e+05,3.310941432496173342e-01
1.173051357457522536e+05,3.313371173789079194e-01
1.173063142201538139e+05,3.325017175158521687e-01
1.173074926764944685e+05,3.334149651052545349e-01
1.173086711328351230e+05,3.345963220787017134e-01
1.173098495891757775e+05,3.247097885420521246e-01
