# r,k_smooth_cycles_per_km
1.178260564116906753e+05,1.294172375202179981e-01
1.178268794671067444e+05,1.292664259916928293e-01
1.178277025225227990e+05,1.291156144631676606e-01
1.178285255780206062e+05,1.289899381893966912e-01
1.178293486333549372e+05,1.288307482426201411e-01
1.178301716886892682e+05,1.286548014593407729e-01
1.178309947441870754e+05,1.284788546760614047e-01
1.178318177996848535e+05,1.283950704935474529e-01
1.178326408551826607e+05,1.282442589650222842e-01
1.178334639106804534e+05,1.280934474364971154e-01
1.178342869661782461e+05,1.279677711627261461e-01
1.178351100213491300e+05,1.278085812159495960e-01
1.178359330768469081e+05,1.278504733072065858e-01
1.178367561323447153e+05,1.277164186151842074e-01
1.178375791878425080e+05,1.276912833604300079e-01
1.178384022433403006e+05,1.277331754516869977e-01
1.178392252988381078e+05,1.275656070866590386e-01
1.178400483543358860e+05,1.274985797406478771e-01
1.178408714098336932e+05,1.273729034668769078e-01
1.178416944653315004e+05,1.273058761208657186e-01
1.178425175201754319e+05,1.273058761208657186e-01
1.178433405756732391e+05,1.272137135201003300e-01
1.178441636311710172e+05,1.272137135201003300e-01
1.178449866866688244e+05,1.272137135201003300e-01
1.178458097428204783e+05,1.271466861740891408e-01
1.178466327976644097e+05,1.271131725010835600e-01
1.178474558525083703e+05,1.271550645923405498e-01
1.178482789086600096e+05,1.271634430105919589e-01
1.178491019648116489e+05,1.270712804098265702e-01
1.178499250196556095e+05,1.270461451550723708e-01
1.178507480744995410e+05,1.270461451550723708e-01
1.178515711306511948e+05,1.270461451550723986e-01
1.178523941854951408e+05,1.270461451550723986e-01
1.178532172403390869e+05,1.270210099003181992e-01
1.178540402964907407e+05,1.270629019915751889e-01
1.178548633526423801e+05,1.270629019915751889e-01
1.178556864074863261e+05,1.270377667368209895e-01
1.178565094623302721e+05,1.270796588280779793e-01
1.178573325184819114e+05,1.271215509193349691e-01
1.178581555746335653e+05,1.271215509193349691e-01
1.178589786294775113e+05,1.271299293375863781e-01
1.178598016843214573e+05,1.271131725010835600e-01
1.178606247404731112e+05,1.273477682121227084e-01
1.178614477953170426e+05,1.273226329573685089e-01
1.178622708501610032e+05,1.273226329573685089e-01
1.178630939063126425e+05,1.273896603033796981e-01
1.178639169624642818e+05,1.273896603033796981e-01
1.178647400173082424e+05,1.273310113756198902e-01
1.178655630721521738e+05,1.273058761208657186e-01
1.178663861283038277e+05,1.274147955581338976e-01
1.178672091844554816e+05,1.274147955581338976e-01
1.178680322406071209e+05,1.273896603033796981e-01
1.178688552967587602e+05,1.273896603033796981e-01
1.178696783502950129e+05,1.274650660676422687e-01
1.178705014038312656e+05,1.274650660676422687e-01
1.178713244599829050e+05,1.274064171398824885e-01
1.178721475161345443e+05,1.275404718319048669e-01
1.178729705722861981e+05,1.277583107064411971e-01
1.178737936284378375e+05,1.277331754516869977e-01
1.178746166845894768e+05,1.277331754516869977e-01
1.178754397381257295e+05,1.277750675429439875e-01
1.178762627916619822e+05,1.277750675429439875e-01
1.178770858478136215e+05,1.277750675429439875e-01
1.178779089039652608e+05,1.275237149954020488e-01
1.178787319601169147e+05,1.275320934136534579e-01
1.178795550162685686e+05,1.275069581588992584e-01
1.178803780724202079e+05,1.274566876493908596e-01
1.178812011259564606e+05,1.274985797406478494e-01
1.178820241794926987e+05,1.277331754516869977e-01
1.178828472356443526e+05,1.279677711627261461e-01
1.178836702917959919e+05,1.278420948889551767e-01
1.178844933479476313e+05,1.281520963642569233e-01
1.178853164040992851e+05,1.282442589650222842e-01
1.178861394602509390e+05,1.281939884555138853e-01
1.178869625164025783e+05,1.282107452920166757e-01
1.178877855699388310e+05,1.283029078927820643e-01
1.178886086234750692e+05,1.285542604403240030e-01
1.178894316796267231e+05,1.287720993148603610e-01
1.178902547357783624e+05,1.288307482426201411e-01
1.178910777919300017e+05,1.292412907369386299e-01
1.178919008480816556e+05,1.294339943567207885e-01
1.178927239042333094e+05,1.296434548130057374e-01
1.178935469577695476e+05,1.300121052160672364e-01
1.178943700113057857e+05,1.303975124556315535e-01
1.178951930674574396e+05,1.306656218396762548e-01
1.178960161236090935e+05,1.309923801514807917e-01
1.178968391797607328e+05,1.313275168815367100e-01
1.178976622359123721e+05,1.315621125925758583e-01
1.178984852920640260e+05,1.319056277408831579e-01
1.178993083456002641e+05,1.320313040146541550e-01
1.179001313991365168e+05,1.321486018701737153e-01
1.179009544552881562e+05,1.325004954367323962e-01
1.179017775114398100e+05,1.325423875279894137e-01
1.179026005675914639e+05,1.328607674215425138e-01
1.179034236237431032e+05,1.332461746611068309e-01
1.179042466798947426e+05,1.334723919538945702e-01
1.179050697360463964e+05,1.336986092466823095e-01
1.179058927895826346e+05,1.339834754672298567e-01
1.179067158431188873e+05,1.340421243949896368e-01
1.179075388992705266e+05,1.343018553607829846e-01
1.179083619554221805e+05,1.342264495965203863e-01
1.179091850115738343e+05,1.344275316345539262e-01
1.179100080677254737e+05,1.347291546916042637e-01
1.179108311238771130e+05,1.350642914216601820e-01
1.179116541800287669e+05,1.354161849882189184e-01
1.179124772361804207e+05,1.358853764102971595e-01
1.179133002923320601e+05,1.364215951783866454e-01
1.179141233484836994e+05,1.369578139464761035e-01
1.179149463994045509e+05,1.374605190415599809e-01
1.179157694503254024e+05,1.375359248058225514e-01
1.179165925064770418e+05,1.381140356651690271e-01
1.179174155626286811e+05,1.387005249427668840e-01
1.179182386187803349e+05,1.392870142203647410e-01
1.179190616749319888e+05,1.398567466614597798e-01
1.179198847310836281e+05,1.403678301747950663e-01
1.179207077872352675e+05,1.409375626158901329e-01
1.179215308433869213e+05,1.414402677109739825e-01
1.179223538995385752e+05,1.419429728060578599e-01
