# r,k_smooth_cycles_per_km
1.180606062614173861e+05,1.299366994518046659e-01
1.180617908900171460e+05,1.302718361818605841e-01
1.180629755186168913e+05,1.306069729119165024e-01
1.180641601472166512e+05,1.311264348435031701e-01
1.180653447758163966e+05,1.314113010640507173e-01
1.180665294044161565e+05,1.317129241211010271e-01
1.180677140330159164e+05,1.323664407447100733e-01
1.180688986616156617e+05,1.327183343112687541e-01
1.180700832902154216e+05,1.328021184937827337e-01
1.180712679188151669e+05,1.329948221135648923e-01
1.180724525474149268e+05,1.331959041515984599e-01
1.180736371760146867e+05,1.334053646078833810e-01
1.180748218050888390e+05,1.335059056269001787e-01
1.180760064336885989e+05,1.334137430261347623e-01
1.180771910622883588e+05,1.331791473150956417e-01
1.180783756908881041e+05,1.327853616572799156e-01
1.180795603194878640e+05,1.326010364557491938e-01
1.180807449480876094e+05,1.321988723796821141e-01
1.180819295766873693e+05,1.320648176876597357e-01
1.180831142052871292e+05,1.319391414138887664e-01
1.180842988338868745e+05,1.316794104480954186e-01
1.180854834624866344e+05,1.313777873910450811e-01
1.180866680910863797e+05,1.310426506609891628e-01
1.180878527196861396e+05,1.307577844404416434e-01
1.180890373482858995e+05,1.302885930183633745e-01
1.180902219768856448e+05,1.300958893985812159e-01
1.180914066045365907e+05,1.298696721057934766e-01
1.180925912340851501e+05,1.293669670107095993e-01
1.180937758636337239e+05,1.290988576266648702e-01
1.180949604912846698e+05,1.290988576266648702e-01
1.180961451189356158e+05,1.289145324251341207e-01
1.180973297484841751e+05,1.287218288053519621e-01
1.180985143780327344e+05,1.284872330943128138e-01
1.180996990056836803e+05,1.282023668737652666e-01
1.181008836333346262e+05,1.279091222349663659e-01
1.181020682628832001e+05,1.276996617786814170e-01
1.181032528924317594e+05,1.277247970334356164e-01
1.181044375200826908e+05,1.276074991779160284e-01
1.181056221477336367e+05,1.276074991779160284e-01
1.181068067772822105e+05,1.274315523946366602e-01
1.181079914068307844e+05,1.272388487748545294e-01
1.181091760344817158e+05,1.271383077558377594e-01
1.181103606621326471e+05,1.270377667368209618e-01
1.181115452916812210e+05,1.270377667368209618e-01
1.181127299212297949e+05,1.269958746455639997e-01
1.181139145488807408e+05,1.269288472995528105e-01
1.181150991765316721e+05,1.268199278622846315e-01
1.181162838060802314e+05,1.267026300067650435e-01
1.181174684356288053e+05,1.265099263869828849e-01
1.181186530632797512e+05,1.264261422044689054e-01
1.181198376909306971e+05,1.263004659306979360e-01
1.181210223204792565e+05,1.262837090941951734e-01
1.181222069500278303e+05,1.262334385846867746e-01
1.181233915776787617e+05,1.262250601664353933e-01
1.181245762053297076e+05,1.261664112386755854e-01
1.181257608329806535e+05,1.261077623109158052e-01
1.181269454606315849e+05,1.261161407291672143e-01
1.181281300920777721e+05,1.260742486379101968e-01
1.181293147235239740e+05,1.259988428736476263e-01
1.181304993511749199e+05,1.259820860371448359e-01
1.181316839788258658e+05,1.259653292006420178e-01
1.181328686064767971e+05,1.259653292006420455e-01
1.181340532341277431e+05,1.259904644553962172e-01
1.181352378617786744e+05,1.260072212918990076e-01
1.181364224894296203e+05,1.259904644553962449e-01
1.181376071208758221e+05,1.259820860371448359e-01
1.181387917523220094e+05,1.259653292006420455e-01
1.181399763799729553e+05,1.259485723641392552e-01
1.181411610076238867e+05,1.259485723641392274e-01
1.181423456352748326e+05,1.259737076188934268e-01
1.181435302629257785e+05,1.259569507823906365e-01
1.181447148905767244e+05,1.260072212918990353e-01
1.181458995182276558e+05,1.260239781284018257e-01
1.181470841496738431e+05,1.260323565466532070e-01
1.181482687811200449e+05,1.260323565466532070e-01
1.181494534087709908e+05,1.260658702196588155e-01
1.181506380364219367e+05,1.260993838926643962e-01
1.181518226640728681e+05,1.260993838926643962e-01
1.181530072917237994e+05,1.260658702196588155e-01
1.181541919193747453e+05,1.261664112386755854e-01
1.181553765470256913e+05,1.261664112386755854e-01
1.181565611784718931e+05,1.262585738394409463e-01
1.181577458099180803e+05,1.291742633909274407e-01
1.181589304375690117e+05,1.318721140678775494e-01
1.181601150652199576e+05,1.346537489273416655e-01
1.181612996928709035e+05,1.372678154217778501e-01
1.181624843205218494e+05,1.398316114067055804e-01
1.181636689481727808e+05,1.424205426463875379e-01
1.181648535758237267e+05,1.450094738860694954e-01
1.181660382072699140e+05,1.475732698709972535e-01
1.181672228387161158e+05,1.498521996353774921e-01
1.181684074663670617e+05,1.524243740385566870e-01
1.181695920940179931e+05,1.548960074227190564e-01
1.181707767216689390e+05,1.572587213696133024e-01
1.181719613493198704e+05,1.595125158792393139e-01
1.181731459769708163e+05,1.618082024801223429e-01
1.181743306046217622e+05,1.640452401532456195e-01
1.181755152360679640e+05,1.664247109366426003e-01
1.181766998675141367e+05,1.687958033017881720e-01
1.181778844951650826e+05,1.711668956669338271e-01
1.181790691228160285e+05,1.735463664503308356e-01
1.181802537504669745e+05,1.759174588154764352e-01
1.181814383781179058e+05,1.782047669981080551e-01
1.181826230057688517e+05,1.774171956824766583e-01
1.181838076334197831e+05,1.770653021159179774e-01
1.181849922648659849e+05,1.764285423288116939e-01
1.181861768925169308e+05,1.759342156519792255e-01
1.181873615201678767e+05,1.755236731576607367e-01
1.181885461478188081e+05,1.753393479561299595e-01
1.181897307754697395e+05,1.749874543895712509e-01
