# r,k_smooth_cycles_per_km
1.178543633189523971e+05,1.261664112386755854e-01
1.178551626121846493e+05,1.261999249116811661e-01
1.178559619054169161e+05,1.264010069497147337e-01
1.178567611987286509e+05,1.266272242425024730e-01
1.178575604918814497e+05,1.268534415352902123e-01
1.178583597850342485e+05,1.270712804098265425e-01
1.178591590783459833e+05,1.270880372463293606e-01
1.178599583716577035e+05,1.272723624478601101e-01
1.178607576649694383e+05,1.273142545391170999e-01
1.178615569582811731e+05,1.273226329573684812e-01
1.178623562515928934e+05,1.275237149954020488e-01
1.178631555445867707e+05,1.275237149954020488e-01
1.178639548378984910e+05,1.274902013223964681e-01
1.178647541312102258e+05,1.276493912691730181e-01
1.178655534245219606e+05,1.278420948889551489e-01
1.178663527178336808e+05,1.280012848357317268e-01
1.178671520111454010e+05,1.280012848357317268e-01
1.178679513044571358e+05,1.283112863110334456e-01
1.178687505977688706e+05,1.284956115125641951e-01
1.178695498910805909e+05,1.286799367140949446e-01
1.178703491843923111e+05,1.291742633909274407e-01
1.178711484777040605e+05,1.293921022654637709e-01
1.178719477710157807e+05,1.302550793453577660e-01
1.178727470643275010e+05,1.309504880602238019e-01
1.178735463570035208e+05,1.316710320298440373e-01
1.178743456496795407e+05,1.320061687598999556e-01
1.178751449436269759e+05,1.320145471781513369e-01
1.178759442375744256e+05,1.330032005318163013e-01
1.178767435302504455e+05,1.331288768055872707e-01
1.178775428229264508e+05,1.335896898094141583e-01
1.178783421168738860e+05,1.341426654140064068e-01
1.178791414108213357e+05,1.350642914216602097e-01
1.178799407034973556e+05,1.357345648817720463e-01
1.178807399961733609e+05,1.366478124711744124e-01
1.178815392901207961e+05,1.373432211860404206e-01
1.178823385840682604e+05,1.380386299009064288e-01
1.178831378767442657e+05,1.385078213229847532e-01
1.178839371694202709e+05,1.394378257488899098e-01
1.178847364633677353e+05,1.400578286994933752e-01
1.178855357573151705e+05,1.407783726691135828e-01
1.178863350499911758e+05,1.419010807148008702e-01
1.178871343426671810e+05,1.427305441216892568e-01
1.178879336353432009e+05,1.439370363498905792e-01
1.178887329292906506e+05,1.444648766997286560e-01
1.178895322232380859e+05,1.444564982814772469e-01
1.178903315159141057e+05,1.443978493537174945e-01
1.178911308085901255e+05,1.446324450647566429e-01
1.178919301025375607e+05,1.453446106161254414e-01
1.178927293964850105e+05,1.452775832701142800e-01
1.178935286891610303e+05,1.458892078024663364e-01
1.178943279818370356e+05,1.465092107530697463e-01
1.178951272745130409e+05,1.470035374299022146e-01
1.178959265684604761e+05,1.469365100838910532e-01
1.178967258611364960e+05,1.473386741599581884e-01
1.178975251538125158e+05,1.474978641067347385e-01
1.178983244490313809e+05,1.476570540535112885e-01
1.178991237417074008e+05,1.477492166542766494e-01
1.178999230343834206e+05,1.480424612930755779e-01
1.179007223296022858e+05,1.480424612930755779e-01
1.179015216222783056e+05,1.482184080763549461e-01
1.179023209149543254e+05,1.482435433311090900e-01
1.179031202076303307e+05,1.479838123653157977e-01
1.179039195003063360e+05,1.479335418558074267e-01
1.179047187955252302e+05,1.478497576732934193e-01
1.179055180882012355e+05,1.473386741599581329e-01
1.179063173808772408e+05,1.473638094147123323e-01
1.179071166735532606e+05,1.473889446694665040e-01
1.179079159662292805e+05,1.475984051257514806e-01
1.179087152614481456e+05,1.477492166542766494e-01
1.179095145541241509e+05,1.482016512398521002e-01
1.179103138468001707e+05,1.486708426619303969e-01
1.179111131420190504e+05,1.486289505706733793e-01
1.179119124346950557e+05,1.486792210801818059e-01
1.179127117273710755e+05,1.489138167912209543e-01
1.179135110200470954e+05,1.487630052626958133e-01
1.179143103127231007e+05,1.486121937341706167e-01
1.179151096079419658e+05,1.484865174603996751e-01
1.179159089006179856e+05,1.484278685326398672e-01
1.179167081932940055e+05,1.484865174603996474e-01
1.179175074885128706e+05,1.489640873007293254e-01
1.179183067811888905e+05,1.492657103577796629e-01
1.179191060738649103e+05,1.492740887760310720e-01
1.179199053665409156e+05,1.492573319395282538e-01
1.179207046592169208e+05,1.489892225554835525e-01
1.179215039544358151e+05,1.487294915896901770e-01
1.179223032471118204e+05,1.489389520459751259e-01
1.179231025397878257e+05,1.491484125022600749e-01
1.179239018324638455e+05,1.493578729585450238e-01
1.179247011251398653e+05,1.497097665251037601e-01
1.179255004203587305e+05,1.499778759091484892e-01
1.179262997130347503e+05,1.498438212171261386e-01
1.179270990057107701e+05,1.496427391790925709e-01
1.179278983009296353e+05,1.496427391790925432e-01
1.179286975936056406e+05,1.499694974908970801e-01
1.179294968862816604e+05,1.497935507076177120e-01
1.179302961789576802e+05,1.501370658559250393e-01
1.179310954716336855e+05,1.504386889129753491e-01
1.179318947668525507e+05,1.507151767152714872e-01
1.179326940595285705e+05,1.511592328825956122e-01
1.179334933522045903e+05,1.515446401221599015e-01
1.179342926448805956e+05,1.512095033921039833e-01
1.179350919375566009e+05,1.509665292628134259e-01
1.179358912327754952e+05,1.512597739016123544e-01
1.179366905254515004e+05,1.513686933388805611e-01
1.179374898155846458e+05,1.514859911944001214e-01
1.179382891082606511e+05,1.515949106316683004e-01
1.179390884034795454e+05,1.516619379776794896e-01
1.179398876986984105e+05,1.520054531259868169e-01
1.179406869939173048e+05,1.520808588902493597e-01
1.179414862840504356e+05,1.522316704187745284e-01
1.179422855741835665e+05,1.523070761830370989e-01
1.179430848694024608e+05,1.524830229663164116e-01
1.179438841646213550e+05,1.526757265860985979e-01
1.179446834598402202e+05,1.529773496431489077e-01
1.179454827550591144e+05,1.527678891868639588e-01
1.179462820451922453e+05,1.531114043351712861e-01
1.179470813353253761e+05,1.532705942819478917e-01
1.179478806305442704e+05,1.534716763199814316e-01
1.179486799257631501e+05,1.588673776738816767e-01
1.179494792209820298e+05,1.640452401532455917e-01
1.179502785111151752e+05,1.692231026326095067e-01
1.179510778012483206e+05,1.747444802602807212e-01
1.179518770964671858e+05,1.801736952871865749e-01
1.179526763916860800e+05,1.855693966410868201e-01
1.179534756869049452e+05,1.911326663600150522e-01
1.179542749770380906e+05,1.965953950599264866e-01
1.179550742671712360e+05,2.020581237598379487e-01
1.179558735623901302e+05,2.073784193494756234e-01
1.179566728576089954e+05,2.125227681558339299e-01
1.179574721528278897e+05,2.179436047644884022e-01
1.179582714429610205e+05,2.232890356088803041e-01
1.179590707330941659e+05,2.285339254342553805e-01
1.179598700283130456e+05,2.338123289326360377e-01
1.179606693235319399e+05,2.389315424842401725e-01
1.179614686187508050e+05,2.441177833818554965e-01
1.179622679088839504e+05,2.495218631540071508e-01
1.179630671990170958e+05,2.546745903786168941e-01
1.179638664942359610e+05,2.598608312762322181e-01
1.179646657894548553e+05,2.650470721738474866e-01
1.179654650846737350e+05,2.653319383943950616e-01
1.179662643798926147e+05,2.656084261966911719e-01
1.179670636700257601e+05,2.658765355807358732e-01
1.179678629601589055e+05,2.661027528735236403e-01
1.179686622553777706e+05,2.662786996568029529e-01
1.179694615505966649e+05,2.665216737860934826e-01
1.179702608458155300e+05,2.665635658773504724e-01
1.179710601359486755e+05,2.667562694971327142e-01
1.179718594260818209e+05,2.669489731169148450e-01
1.179726587213007151e+05,2.672841098469707632e-01
1.179734580165195803e+05,2.675187055580099393e-01
1.179742573117384745e+05,2.679795185618367714e-01
1.179750566018716054e+05,2.680800595808535691e-01
1.179758558920047508e+05,2.683649258014010885e-01
1.179766551872236305e+05,2.686162783489430272e-01
1.179774544824425247e+05,2.691608755352838944e-01
1.179782537776613899e+05,2.696216885391108375e-01
1.179790530677945353e+05,2.702668267444684469e-01
1.179798523579276807e+05,2.710460196418484347e-01
1.179806516531465459e+05,2.716995362654575086e-01
1.179814509483654401e+05,2.723530528890665270e-01
1.179822502435843198e+05,2.728473795658989953e-01
1.179830495388031995e+05,2.734003551704912716e-01
1.179838488289363449e+05,2.739700876115863104e-01
1.179846481190694903e+05,2.745398200526814048e-01
1.179854474142883555e+05,2.751598230032848424e-01
1.179862467095072498e+05,2.756625280983686643e-01
1.179870460047261149e+05,2.762909094672235111e-01
1.179878452948592603e+05,2.769360476725811759e-01
1.179886445849924057e+05,2.776063211326930125e-01
1.179894438802113000e+05,2.781844319920394604e-01
1.179902431754301651e+05,2.791228148361960537e-01
1.179910424706490594e+05,2.799774134978385565e-01
1.179918417607822048e+05,2.808487689959840439e-01
1.179926410509153502e+05,2.817117460758780112e-01
1.179934403461342154e+05,2.825747231557719785e-01
1.179942396413531096e+05,2.829433735588334775e-01
1.179950389365719748e+05,2.838398643117330256e-01
1.179958382267051202e+05,2.843090557338113222e-01
1.179966375168382656e+05,2.847614903193868008e-01
1.179974368120571307e+05,2.854401421977501019e-01
1.179982361072760250e+05,2.861187940761132920e-01
1.179990354024949193e+05,2.866382560076999320e-01
1.179998346926280501e+05,2.871577179392865720e-01
1.180006339827611810e+05,2.876855582891246765e-01
1.180014332779800752e+05,2.882133986389627811e-01
1.180022325731989404e+05,2.885652922055215175e-01
1.180030318684178346e+05,2.889088073538287893e-01
1.180038311636366998e+05,2.890009699545941224e-01
1.180046304537698452e+05,2.893444851029014497e-01
1.180054297439029906e+05,2.896628649964546054e-01
1.180062290391218849e+05,2.900734074907731497e-01
1.180070283343407500e+05,2.901236780002814930e-01
1.180078276295596443e+05,2.897047570877115952e-01
1.180086269196927897e+05,2.893947556124099041e-01
1.180094262098259351e+05,2.890847541371081575e-01
1.180102255050448002e+05,2.887747526618064109e-01
1.180110248002636945e+05,2.888752936808232086e-01
1.180118240954825596e+05,2.885234001142645277e-01
1.180126233856157050e+05,2.882133986389627811e-01
1.180134226757488505e+05,2.878028561446442923e-01
1.180142219709677156e+05,2.873671783955715764e-01
1.180150212661866099e+05,2.869315006464988604e-01
1.180158205614055041e+05,2.863366329506496499e-01
1.180166198515386350e+05,2.860014962205937317e-01
1.180174191416717658e+05,2.855825753080238893e-01
