# r,k_smooth_cycles_per_km
1.180461162051602878e+05,2.617627322192995210e-01
1.180468571401249937e+05,2.724787291628374963e-01
1.180475980703090318e+05,2.827758051938055739e-01
1.180483390052737377e+05,2.924780135289242744e-01
1.180490799402384437e+05,3.025321154306018223e-01
1.180498208752031496e+05,3.122259453474691693e-01
1.180505618101678556e+05,3.222884256673981263e-01
1.180513027451325615e+05,3.319906340025168823e-01
1.180520436800972675e+05,3.418185186114066632e-01
1.180527846055006667e+05,3.508420750681622291e-01
1.180535255404653726e+05,3.598656315249177950e-01
1.180542664754300786e+05,3.688975663999247145e-01
1.180550074103947845e+05,3.779295012749316895e-01
1.180557483453594905e+05,3.868273814579162306e-01
1.180564892803241964e+05,3.957252616409007717e-01
1.180572302152889024e+05,3.935803865685429392e-01
1.180579711502536084e+05,3.906898322718106997e-01
1.180587120852183143e+05,3.880338736861175253e-01
1.180594530201830203e+05,3.848835884235919380e-01
1.180601939551477262e+05,3.822192514196474100e-01
1.180609348805511108e+05,3.793203187046637614e-01
1.180616758155158168e+05,3.767900363927416674e-01
1.180624167504805228e+05,3.743100245903278056e-01
1.180631576854452287e+05,3.717964991149084741e-01
1.180638986204099347e+05,3.701375723011317009e-01
1.180646395553746406e+05,3.682021576850587063e-01
1.180653804903393466e+05,3.666521503085500844e-01
1.180661214253040525e+05,3.647251141107286654e-01
1.180668623602687585e+05,3.631583498977171698e-01
1.180676032952334645e+05,3.614742878291861694e-01
1.180683442301981704e+05,3.603767150382530815e-01
1.180690851556015550e+05,3.593713048480853267e-01
1.180698260905662610e+05,3.579134600723420934e-01
1.180705670255309669e+05,3.564556152965988045e-01
1.180713079604956729e+05,3.551988525588891110e-01
1.180720488954603788e+05,3.540426308401962707e-01
1.180727898304250848e+05,3.528864091215033194e-01
1.180735307653897908e+05,3.522077572431401293e-01
1.180742717003544967e+05,3.514369427640114951e-01
1.180750126353192027e+05,3.512023470529723190e-01
1.180757535702839086e+05,3.502388289540615540e-01
1.180764945052486146e+05,3.495099065661899096e-01
1.180772354402133205e+05,3.490323367258602594e-01
1.180779763751780265e+05,3.487474705053127400e-01
1.180787173005814257e+05,3.483201711744914886e-01
1.180794582355461316e+05,3.476331408778768339e-01
1.180801991705108376e+05,3.472142199653069361e-01
1.180809401054755435e+05,3.469461105812621793e-01
1.180816810404402495e+05,3.470634084367817396e-01
1.180824219754049554e+05,3.470801652732845577e-01
1.180831629103696614e+05,3.471723278740499463e-01
1.180839038453343674e+05,3.477420603151450407e-01
1.180846447802990733e+05,3.482196301554746909e-01
1.180853857152637793e+05,3.493507166194134150e-01
1.180861266502284852e+05,3.504818030833521392e-01
1.180868675756318698e+05,3.455134010602731731e-01
1.180876085105965758e+05,3.404193227634232377e-01
1.180883494455612818e+05,3.353252444665732468e-01
1.180890903805259877e+05,3.300552193864439432e-01
1.180898313154906937e+05,3.248941137435828463e-01
1.180905722504553996e+05,3.194648987166769927e-01
1.180913131854201056e+05,3.147394708228886118e-01
1.180920541203848115e+05,3.100140429291002309e-01
1.180927950553495029e+05,3.047356394307194627e-01
1.180935359903142089e+05,2.995661553696069013e-01
1.180942769252789149e+05,2.945726180917737635e-01
1.180950178506823140e+05,2.895790808139406258e-01
1.180957587856470200e+05,2.843425694068169585e-01
1.180964997206117259e+05,2.788882191251569331e-01
1.180972406555764319e+05,2.730735968586867624e-01
1.180979815905411378e+05,2.673343803564791621e-01
1.180987225255058438e+05,2.615951638542715618e-01
1.180994634604705498e+05,2.552610796562147510e-01
1.181002043954352557e+05,2.490778069866830813e-01
1.181009453303999617e+05,2.424588565680787233e-01
1.181016862653646676e+05,2.359572040049939534e-01
1.181024272003293736e+05,2.356555809479436159e-01
1.181031681352940795e+05,2.351193621798541855e-01
1.181039090702587855e+05,2.345999002482674900e-01
1.181046499956621847e+05,2.341977361722003825e-01
1.181053909306268906e+05,2.336531389858595154e-01
1.181061318655915966e+05,2.331252986360214385e-01
1.181068728005563025e+05,2.326142151226861798e-01
1.181076137355210085e+05,2.320612395180939314e-01
1.181083546704857145e+05,2.318434006435575734e-01
1.181090956054504204e+05,2.313323171302222869e-01
1.181098365404151264e+05,2.307960983621328011e-01
1.181105774753798323e+05,2.302598795940433429e-01
1.181113184103445383e+05,2.299414997004902150e-01
1.181120593453092442e+05,2.296817687346969228e-01
1.181128002707126288e+05,2.294220377689035750e-01
1.181135412056773348e+05,2.291623068031102273e-01
1.181142821406420408e+05,2.289193326738196699e-01
1.181150230756067467e+05,2.286344664532721505e-01
1.181157640105714381e+05,2.281904102859480810e-01
1.181165049455361441e+05,2.279809498296631320e-01
1.181172458805008500e+05,2.275117584075848076e-01
1.181179868154655560e+05,2.269839180577467308e-01
1.181187277504302619e+05,2.267074302554506204e-01
1.181194686853949679e+05,2.264141856166516920e-01
1.181202096203596739e+05,2.259031021033164333e-01
1.181209505457630730e+05,2.256098574645175048e-01
1.181216914807277790e+05,2.254171538447353740e-01
1.181224324156924849e+05,2.250401250234224659e-01
1.181231733506571909e+05,2.247049882933665477e-01
1.181239142856218969e+05,2.242860673807966498e-01
1.181246552205866028e+05,2.238839033047295146e-01
1.181253961555513088e+05,2.235068744834165788e-01
1.181261370905160147e+05,2.229036283693159315e-01
1.181268780254807207e+05,2.223255175099694836e-01
1.181276189604454266e+05,2.217055145593660737e-01
1.181283598954101326e+05,2.208592943159748689e-01
1.181291008303748386e+05,2.200382093273378914e-01
1.181298417653395445e+05,2.192925301029634566e-01
1.181305826907429437e+05,2.187060408253655996e-01
1.181313236257076496e+05,2.180441457835051999e-01
1.181320645606723556e+05,2.173990075781475628e-01
1.181328054956370615e+05,2.168376535553039053e-01
1.181335464306017675e+05,2.162427858594546670e-01
1.181342873655664735e+05,2.155808908175942118e-01
1.181350283005311794e+05,2.149189957757337566e-01
1.181357692354958854e+05,2.143660201711415358e-01
1.181365101704605913e+05,2.137208819657838710e-01
1.181372511054252973e+05,2.129584459049066458e-01
1.181379920403900032e+05,2.122379019352864382e-01
1.181387329657933733e+05,2.114838442926606499e-01
1.181394739007580793e+05,2.107549219047889777e-01
1.181402148357227852e+05,2.100092426804145707e-01
1.181409557706874912e+05,2.089200483077328363e-01
1.181416967056521971e+05,2.080403143913360786e-01
1.181424376406169031e+05,2.071605804749392932e-01
1.181431785755816090e+05,2.060294940110005413e-01
1.181439195105463150e+05,2.051078680033467938e-01
1.181446604455110210e+05,2.041862419956929908e-01
1.181454013804757269e+05,2.031640749690224734e-01
1.181461423154404329e+05,2.021335295241005192e-01
1.181468832504051388e+05,2.009437941324020427e-01
1.181476241853698448e+05,1.997289234859493390e-01
1.181483651107732439e+05,1.985810801855078245e-01
1.181491060457379499e+05,1.974332368850663100e-01
1.181498469807026559e+05,1.963607993488873937e-01
1.181505879156673618e+05,1.952883618127084775e-01
1.181513288506320678e+05,1.941488969305183721e-01
1.181520697855967737e+05,1.930094320483282389e-01
1.181528107205614797e+05,1.918699671661381057e-01
1.181535516555261856e+05,1.908561785577189418e-01
1.181542925904908916e+05,1.898842820405567677e-01
1.181550335254555976e+05,1.887364387401152532e-01
1.181557744604203035e+05,1.875885954396737387e-01
1.181565153858237027e+05,1.865999420860088021e-01
1.181572563207884086e+05,1.856280455688466280e-01
1.181579972557531146e+05,1.849661505269862005e-01
1.181587381907178205e+05,1.845556080326677117e-01
1.181594791256825265e+05,1.838350640630474764e-01
1.181602200606472325e+05,1.831145200934272688e-01
1.181609609956119384e+05,1.822431645952818924e-01
1.181617019305766444e+05,1.813801875153878973e-01
1.181624428655413503e+05,1.807601845647844874e-01
1.181631838005060563e+05,1.799642348309016260e-01
1.181639247354707622e+05,1.793023397890412263e-01
1.181646656608741323e+05,1.786404447471807988e-01
1.181654065958388383e+05,1.777690892490353947e-01
1.181661475308035442e+05,1.769563826786497984e-01
1.181668884657682502e+05,1.762023250360239823e-01
1.181676294007329561e+05,1.754482673933981940e-01
1.181683703356976621e+05,1.746942097507723779e-01
1.181691112706623680e+05,1.739569089446493522e-01
1.181698522056270740e+05,1.730269045187441679e-01
1.181705931405917800e+05,1.722979821308725512e-01
1.181713340755564859e+05,1.715690597430009345e-01
1.181720750105211919e+05,1.710244625566600674e-01
1.181728159454858978e+05,1.704798653703192002e-01
1.181735568804506038e+05,1.695414825261626623e-01
1.181742978058540029e+05,1.686282349367602962e-01
1.181750387408187089e+05,1.682093140241903706e-01
1.181757796757834149e+05,1.677903931116204728e-01
1.181765206107481208e+05,1.673295801077936129e-01
1.181772615457128268e+05,1.668687671039666975e-01
1.181780024806775327e+05,1.663660620088828201e-01
1.181787434156422387e+05,1.660476821153296922e-01
1.181794843506069446e+05,1.655449770202458148e-01
1.181802252855716506e+05,1.650674071799161369e-01
1.181809662205363566e+05,1.647992977958713801e-01
1.181817071555010625e+05,1.645228099935752697e-01
1.181824480809044617e+05,1.641541595905137707e-01
1.181831890158691676e+05,1.637855091874522717e-01
1.181839299508338736e+05,1.635341566399103608e-01
1.181846708857985795e+05,1.632660472558656040e-01
1.181854118207632855e+05,1.631655062368488340e-01
1.181861527557279769e+05,1.630649652178320641e-01
1.181868936906926829e+05,1.628806400163013146e-01
1.181876346256573888e+05,1.627214500695247090e-01
1.181883755606220948e+05,1.624282054307258083e-01
1.181891164955868007e+05,1.622187449744408594e-01
1.181898574305515067e+05,1.620092845181559105e-01
1.181905983559548913e+05,1.616490125333457650e-01
1.181913392909195973e+05,1.614227952405580535e-01
1.181920802258843032e+05,1.611714426930161148e-01
1.181928211608490092e+05,1.609368469819769665e-01
1.181935620958137151e+05,1.607860354534517977e-01
1.181943030307784211e+05,1.606352239249266567e-01
1.181950439657431270e+05,1.606603591796808284e-01
1.181957849007078330e+05,1.605430613241612681e-01
1.181965258356725390e+05,1.604257634686416800e-01
1.181972667706372449e+05,1.602581951036137209e-01
1.181980077056019509e+05,1.602917087766193294e-01
1.181987486405666568e+05,1.603084656131221197e-01
1.181994895755313628e+05,1.602079245941053498e-01
1.182002305009347619e+05,1.600738699020829714e-01
1.182009714358994679e+05,1.599565720465633833e-01
1.182017123708641739e+05,1.598392741910437953e-01
1.182024533058288798e+05,1.598057605180382146e-01
1.182031942407935858e+05,1.597471115902784067e-01
1.182039351757582917e+05,1.598225173545410049e-01
1.182046761107229977e+05,1.598895447005522219e-01
1.182054170456877036e+05,1.599063015370549845e-01
1.182061579806524096e+05,1.599984641378204009e-01
1.182068989156171156e+05,1.599565720465634111e-01
1.182076398505818215e+05,1.601073835750885799e-01
1.182083807759852061e+05,1.602246814306081679e-01
1.182091217013885907e+05,1.602163030123567589e-01
1.182098626459146180e+05,1.602498166853623396e-01
