# r,k_smooth_cycles_per_km
1.180560819104577822e+05,4.410106122897066161e-01
1.180572663791873492e+05,4.404408798486115773e-01
1.180584508479169017e+05,4.394857401679522213e-01
1.180596353167651832e+05,4.244045873154360105e-01
1.180608197853760212e+05,4.092982992081655169e-01
1.180620042539868591e+05,3.942087679373978970e-01
1.180631887228351407e+05,3.790941014118760499e-01
1.180643731916834222e+05,3.640380838141140107e-01
1.180655576605317183e+05,3.489820662163519160e-01
1.180667421293799998e+05,3.339260486185898213e-01
1.180679265982282814e+05,3.188113820930679188e-01
1.180691110666016757e+05,3.036967155675460717e-01
1.180702955354499572e+05,2.881128576199459279e-01
1.180714800042982388e+05,2.730484616039325352e-01
1.180726644731465203e+05,2.574981173293380277e-01
1.180738489419948019e+05,2.429029127354028483e-01
1.180750334108430834e+05,2.282239239589536894e-01
1.180762178796913649e+05,2.130673653421748526e-01
1.180774023475898721e+05,1.983799981474743124e-01
1.180785868164381536e+05,1.838183072265446860e-01
1.180797712852864352e+05,1.693655357428832942e-01
1.180809557541347167e+05,1.547787095671994961e-01
1.180821402229829982e+05,1.402505323192755060e-01
1.180833246918312798e+05,1.260910054744130149e-01
1.180845091616293648e+05,1.260574918014074064e-01
1.180856936295278429e+05,1.260491133831559973e-01
1.180868780974263500e+05,1.260910054744130149e-01
1.180880625672244059e+05,1.261328975656700047e-01
1.180892470370224910e+05,1.261328975656700047e-01
1.180904315049209836e+05,1.260910054744130149e-01
1.180916159728194762e+05,1.260491133831560251e-01
1.180928004426175612e+05,1.260574918014074342e-01
1.180939849105160392e+05,1.260574918014074064e-01
1.180951693784145464e+05,1.260574918014074064e-01
1.180963538482126023e+05,1.260323565466532347e-01
1.180975383180106874e+05,1.260323565466532347e-01
1.180987227859091799e+05,1.259653292006420455e-01
1.180999072538076725e+05,1.259653292006420455e-01
1.181010917236057576e+05,1.259653292006420455e-01
1.181022761915042356e+05,1.259569507823906365e-01
1.181034606594027427e+05,1.259569507823906365e-01
1.181046451292007987e+05,1.259904644553962449e-01
1.181058295989988837e+05,1.259737076188934546e-01
1.181070140668973763e+05,1.259820860371448359e-01
1.181081985347958689e+05,1.260072212918990353e-01
1.181093830045939540e+05,1.260072212918990353e-01
1.181105674743920099e+05,1.260072212918990076e-01
1.181117519422905170e+05,1.259401939458878461e-01
1.181129364101889951e+05,1.258983018546308563e-01
1.181141208799870801e+05,1.258396529268710762e-01
1.181153053478855727e+05,1.258312745086196671e-01
1.181164898176836432e+05,1.258312745086196671e-01
1.181176742855821503e+05,1.258396529268710484e-01
1.181188587515810505e+05,1.258564097633738665e-01
1.181200432213791355e+05,1.258731665998766569e-01
1.181212276911771914e+05,1.258815450181280660e-01
1.181224121609752765e+05,1.258647881816252756e-01
1.181235966307733615e+05,1.258731665998766569e-01
1.181247811005714175e+05,1.258647881816252478e-01
1.181259655703695025e+05,1.258815450181280660e-01
1.181271500363684027e+05,1.258815450181280660e-01
1.181283345023673319e+05,1.258983018546308563e-01
1.181295189721653878e+05,1.258815450181280382e-01
1.181307034419634729e+05,1.258815450181280660e-01
1.181318879117615579e+05,1.258647881816252478e-01
1.181330723815596139e+05,1.258480313451224575e-01
1.181342568513576989e+05,1.258564097633738665e-01
1.181354413173565990e+05,1.258731665998766291e-01
1.181366257833555283e+05,1.258899234363794473e-01
1.181378102531535842e+05,1.259066802728822376e-01
1.181389947229516692e+05,1.259066802728822376e-01
1.181401791927497543e+05,1.259066802728822376e-01
1.181413636625478102e+05,1.259150586911336467e-01
1.181425481323458953e+05,1.259234371093850280e-01
1.181437325983447954e+05,1.259234371093850280e-01
1.181449170643437246e+05,1.259234371093850280e-01
1.181461015341417806e+05,1.259318155276364370e-01
1.181472860039398656e+05,1.259318155276364648e-01
1.181484704737379507e+05,1.259318155276364370e-01
1.181496549435360066e+05,1.259820860371448359e-01
1.181508394133340917e+05,1.259737076188934268e-01
1.181520238793329918e+05,1.259904644553962172e-01
1.181532083453319210e+05,1.259904644553962172e-01
1.181543928151299770e+05,1.259904644553962172e-01
1.181555772849280620e+05,1.259988428736476263e-01
1.181567617547261470e+05,1.289983166076480725e-01
1.181579462245242030e+05,1.317883298853635698e-01
1.181591306943222880e+05,1.344191532163025449e-01
1.181603151641203440e+05,1.370834902202470729e-01
1.181614996301192732e+05,1.396389077869234496e-01
1.181626840961181879e+05,1.422613526996109878e-01
1.181638685659162584e+05,1.447078508290191856e-01
1.181650530357143434e+05,1.471124568671703936e-01
1.181662375055123994e+05,1.494667923958131750e-01
1.181674219753104844e+05,1.518127495062046028e-01
1.181686064451085404e+05,1.541670850348474120e-01
1.181697909111074696e+05,1.565297989817416302e-01
1.181709753771063843e+05,1.588171071643732501e-01
1.181721598469044548e+05,1.611798211112674684e-01
1.181733443167025398e+05,1.635425350581617143e-01
1.181745287865005957e+05,1.657293022217765366e-01
1.181757132562986808e+05,1.679747183131511945e-01
1.181768977260967367e+05,1.701195933855090547e-01
1.181780821920956660e+05,1.723650094768837127e-01
1.181792666580945806e+05,1.744428572032303837e-01
1.181804511316918069e+05,1.767301653858620314e-01
1.181816356052890333e+05,1.758085393782082562e-01
1.181828200674887921e+05,1.751717795911020559e-01
1.181840045296885655e+05,1.746942097507723501e-01
1.181851889994866215e+05,1.742082614921912354e-01
1.181863734692847065e+05,1.738312326708783273e-01
1.181875579390827770e+05,1.734206901765598663e-01
1.181887424088808475e+05,1.730604181917497209e-01
1.181899268786789326e+05,1.728509577354647997e-01
1.181911113484769885e+05,1.724906857506546820e-01
1.181922958182750735e+05,1.721387921840960011e-01
1.181934802880731295e+05,1.718623043817998353e-01
1.181946647578712145e+05,1.715690597430009068e-01
1.181958492276692705e+05,1.713512208684645766e-01
1.181970336974673555e+05,1.710831114844198475e-01
1.181982181672654260e+05,1.708485157733807269e-01
1.181994026370634965e+05,1.706306768988443967e-01
1.182005870992632699e+05,1.704044596060566297e-01
1.182017715614630142e+05,1.704044596060566297e-01
1.182029560312610993e+05,1.701698638950174536e-01
1.182041405010591843e+05,1.701028365490062644e-01
1.182053249708572403e+05,1.696336451269279677e-01
1.182065094406553253e+05,1.696420235451794045e-01
1.182076939104533812e+05,1.692733731421178778e-01
1.182088783802514663e+05,1.689047227390563788e-01
1.182100628500495222e+05,1.683433687162127490e-01
1.182112473198476073e+05,1.677401226021121017e-01
1.182124317896456632e+05,1.671033628150058736e-01
1.182136162594437483e+05,1.665671440469163600e-01
1.182148007292418188e+05,1.659722763510671217e-01
1.182159851990398893e+05,1.655617338567486330e-01
1.182171696612396627e+05,1.636179408224243126e-01
1.182183541234394070e+05,1.615317146778262325e-01
1.182195385932374920e+05,1.594454885332281247e-01
1.182207230630355771e+05,1.573592623886300723e-01
1.182219075328336330e+05,1.552562794075291741e-01
1.182230920026317181e+05,1.531197827534227229e-01
1.182242764724297740e+05,1.511005839548358320e-01
1.182254609422278591e+05,1.490813851562489134e-01
1.182266454120259150e+05,1.469281316656396719e-01
1.182278298818240000e+05,1.449089328670527532e-01
1.182290143516220560e+05,1.428813556502144255e-01
1.182301988214201410e+05,1.410464820531582841e-01
1.182313832912182261e+05,1.389770127450629944e-01
1.182325677610162820e+05,1.372426801670236507e-01
1.182337522308143671e+05,1.354580770794758804e-01
1.182349366930141259e+05,1.338242855204532789e-01
1.182361211552138848e+05,1.322323860526876671e-01
1.182373056250119698e+05,1.306404865849220831e-01
1.182384900948100258e+05,1.290904792084134611e-01
1.182396745646081108e+05,1.274818229041450590e-01
1.182408590344061668e+05,1.258899234363794473e-01
1.182420435042042518e+05,1.258228960903682858e-01
1.182432279740023077e+05,1.258228960903682858e-01
1.182444124438003928e+05,1.258228960903682581e-01
1.182455969135984487e+05,1.258228960903682581e-01
1.182467813833965338e+05,1.258647881816252478e-01
1.182479658531946188e+05,1.258983018546308563e-01
1.182491503229926748e+05,1.259150586911336467e-01
1.182503347927907598e+05,1.259150586911336467e-01
1.182515192549905187e+05,1.259066802728822654e-01
1.182527037171902775e+05,1.259066802728822654e-01
1.182538881869883626e+05,1.259066802728822376e-01
