# r,k_smooth_cycles_per_km
1.178896676781323331e+05,1.340253675584868465e-01
1.178903774472061195e+05,1.342096927600175960e-01
1.178910872163533932e+05,1.342013143417662147e-01
1.178917969855006668e+05,1.341929359235148056e-01
1.178925067546479404e+05,1.342096927600175960e-01
1.178932165236482106e+05,1.344107747980511636e-01
1.178939262926484807e+05,1.345867215813305040e-01
1.178946360619427578e+05,1.347626683646098444e-01
1.178953458309430280e+05,1.348464525471238240e-01
1.178960555999433127e+05,1.349051014748836319e-01
1.178967653689435974e+05,1.350978050946657627e-01
1.178974751382378599e+05,1.352905087144479213e-01
1.178981849072381447e+05,1.352988871326993303e-01
1.178988946759444225e+05,1.352318597866881689e-01
1.178996044452386850e+05,1.354413202429730900e-01
1.179003142145329621e+05,1.355334828437384787e-01
1.179010239838272391e+05,1.355502396802412413e-01
1.179017337531214871e+05,1.355669965167440594e-01
1.179024435218277795e+05,1.356088886080010492e-01
1.179031532905340719e+05,1.353826713152133099e-01
1.179038630598283489e+05,1.353742928969619286e-01
1.179045728291226114e+05,1.353659144787105195e-01
1.179052825984168740e+05,1.352737518779451587e-01
1.179059923671231663e+05,1.353742928969619286e-01
1.179067021358294587e+05,1.355586180984926781e-01
1.179074119057116914e+05,1.355418612619898600e-01
1.179081216750059684e+05,1.353407792239563201e-01
1.179088314431242761e+05,1.353575360604591105e-01
1.179095412124185532e+05,1.353742928969619008e-01
1.179102509817128157e+05,1.356005101897496401e-01
1.179109607510070782e+05,1.357094296270178191e-01
1.179116705203013553e+05,1.356005101897496679e-01
1.179123802884196630e+05,1.354915907524814611e-01
1.179130900577139109e+05,1.356675375357608293e-01
1.179137998270081880e+05,1.358434843190401697e-01
1.179145095963024651e+05,1.358434843190401697e-01
1.179152193655967276e+05,1.359607821745597578e-01
1.179159291348909901e+05,1.359775390110625759e-01
1.179166389041852672e+05,1.357848353912804173e-01
1.179173486723035749e+05,1.355921317714982866e-01
1.179180584415978519e+05,1.356172670262524582e-01
1.179187682108921144e+05,1.358853764102971873e-01
1.179194779801863770e+05,1.361534857943419163e-01
1.179201877494806395e+05,1.362540268133586863e-01
1.179208975175989472e+05,1.363545678323754562e-01
1.179216072868932097e+05,1.362707836498614766e-01
1.179223170561874867e+05,1.362791620681128857e-01
1.179230268254817638e+05,1.362875404863642947e-01
1.179237365947760263e+05,1.359942958475653663e-01
1.179244463628943340e+05,1.359691605928111668e-01
1.179251561321885965e+05,1.358434843190401697e-01
1.179258659014828736e+05,1.358602411555429879e-01
1.179265756707771216e+05,1.359607821745597300e-01
1.179272854412473680e+05,1.360780800300793458e-01
1.179279952105416305e+05,1.360948368665821639e-01
1.179287049786599382e+05,1.414989166387337904e-01
1.179294147467782459e+05,1.469365100838910532e-01
1.179301245148965536e+05,1.523741035290482881e-01
1.179308342853667855e+05,1.577111559551887809e-01
1.179315440558370174e+05,1.632995609288711847e-01
1.179322538239553251e+05,1.688628306477993890e-01
1.179329635920736182e+05,1.743423161842136415e-01
1.179336733601919259e+05,1.797631527928680861e-01
1.179343831306621578e+05,1.851839894015225307e-01
1.179350929011323897e+05,1.905880691736741850e-01
1.179358026692506974e+05,1.959418784363174681e-01
1.179365124373690051e+05,2.013962287179775490e-01
1.179372222054873127e+05,2.069762552734085437e-01
