# r,k_smooth_cycles_per_km
1.178894632044969330e+05,1.262585738394410018e-01
1.178901786693092581e+05,1.262753306759437921e-01
1.178908941341215686e+05,1.262920875124465825e-01
1.178916095989338937e+05,1.263088443489493728e-01
1.178923250635990407e+05,1.263256011854521632e-01
1.178930405284113658e+05,1.263423580219549536e-01
1.178937559932236909e+05,1.263591148584577439e-01
1.178944714580360160e+05,1.263758716949605343e-01
1.178951869228483411e+05,1.263926285314633247e-01
1.178959023876606661e+05,1.264093853679661428e-01
1.178966178524729912e+05,1.264261422044689331e-01
1.178973333169909602e+05,1.264428990409717235e-01
1.178980487818032852e+05,1.264177637862175241e-01
1.178987642469099665e+05,1.263926285314633524e-01
1.178994797120166331e+05,1.263591148584577439e-01
1.179001951765346166e+05,1.263758716949605343e-01
1.179009106410525856e+05,1.263926285314633524e-01
1.179016261061592522e+05,1.264093853679661428e-01
1.179023415706772357e+05,1.264261422044689331e-01
1.179030570351952047e+05,1.264428990409717235e-01
1.179037725003018859e+05,1.264177637862175241e-01
1.179044879654085526e+05,1.263926285314633247e-01
1.179052034299265360e+05,1.264010069497147337e-01
1.179059188944445050e+05,1.264847911322287133e-01
1.179066343595511717e+05,1.265685753147426928e-01
1.179073498240691551e+05,1.265434400599884934e-01
1.179080652885871241e+05,1.265183048052342940e-01
1.179087807536937908e+05,1.264931695504800946e-01
1.179094962188004574e+05,1.264680342957259229e-01
1.179102116839071386e+05,1.264428990409717235e-01
1.179109271490138199e+05,1.264596558774745139e-01
1.179116426141204865e+05,1.264764127139773320e-01
1.179123580780497578e+05,1.264931695504801223e-01
1.179130735419790290e+05,1.265518184782399025e-01
1.179137890070856956e+05,1.266104674059996826e-01
1.179145044721923769e+05,1.266356026607538821e-01
1.179152199372990581e+05,1.266104674059996826e-01
1.179159354024057247e+05,1.265853321512454832e-01
1.179166508675124060e+05,1.265601968964912838e-01
1.179173663314416772e+05,1.265350616417370844e-01
1.179180817953709484e+05,1.265099263869828849e-01
1.179187972604776151e+05,1.265266832234857031e-01
1.179195127255842963e+05,1.265434400599884934e-01
1.179202281906909775e+05,1.265183048052342940e-01
1.179209436557976442e+05,1.363461894141240471e-01
1.179216591209043108e+05,1.461740740230138003e-01
1.179223745860109921e+05,1.562784464341996638e-01
1.179230900499402633e+05,1.660560605335810735e-01
1.179238055138695345e+05,1.758336746329624556e-01
1.179245209789762157e+05,1.853766930213046615e-01
1.179252364440828824e+05,1.945426825883340149e-01
1.179259519091895490e+05,2.017062301932792123e-01
1.179266673742962303e+05,2.088697777982244652e-01
1.179273828382255015e+05,2.166617067720245093e-01
1.179280983021547727e+05,2.239257953959865599e-01
1.179288137672614539e+05,2.310223156549205681e-01
1.179295292323681206e+05,2.382109985146199926e-01
1.179302446974748018e+05,2.453996813743194172e-01
1.179309601625814685e+05,2.525380937245104152e-01
1.179316756276881497e+05,2.597351550024612488e-01
1.179323910927948309e+05,2.669741083716690166e-01
1.179331065579014976e+05,2.742130617408767845e-01
1.179338220230081643e+05,2.814017446005762646e-01
1.179345374881148455e+05,2.885904274602756892e-01
1.179352529532215267e+05,2.952428915518856556e-01
1.179359684183281934e+05,2.919669300155890435e-01
1.179366838810800691e+05,2.886909684792924313e-01
1.179373993438319303e+05,2.858339278555657725e-01
1.179381148089386115e+05,2.831947261063754717e-01
1.179388302740452782e+05,2.805555243571851154e-01
1.179395457391519449e+05,2.776817268969555830e-01
1.179402612042586261e+05,2.756625280983687198e-01
1.179409766693653073e+05,2.756038791706089675e-01
1.179416921344719740e+05,2.751598230032848424e-01
1.179424075995786407e+05,2.740873854671058707e-01
1.179431230646853219e+05,2.735427882807650035e-01
1.179438385297920031e+05,2.731657594594520955e-01
1.179445539948986698e+05,2.727300817103794350e-01
1.179452694600053510e+05,2.723027823795581281e-01
1.179459849251120177e+05,2.718168341209770134e-01
1.179467003902186989e+05,2.712722369346361462e-01
1.179474158529705601e+05,2.706857476570382337e-01
1.179481313157224358e+05,2.700992583794403767e-01
1.179488467808291025e+05,2.696300669573621911e-01
1.179495622459357837e+05,2.691608755352838944e-01
1.179502777110424649e+05,2.691692539535353035e-01
1.179509931761491316e+05,2.692697949725521012e-01
1.179517086412557983e+05,2.693703359915688433e-01
1.179524241063624795e+05,2.688843877329877285e-01
1.179531395714691607e+05,2.685073589116748760e-01
1.179538550365758274e+05,2.681387085086133770e-01
1.179545705016824941e+05,2.680968164173563317e-01
1.179552859667891753e+05,2.676276249952780906e-01
1.179560014318958565e+05,2.671584335731997939e-01
1.179567168970025232e+05,2.672924882652221723e-01
1.179574323621091899e+05,2.671919472462053191e-01
1.179581478272158711e+05,2.670914062271885769e-01
1.179588632899677468e+05,2.669908652081718348e-01
1.179595787527196226e+05,2.669908652081718348e-01
1.179602942178262892e+05,2.671081630636913951e-01
1.179610096829329559e+05,2.673343803564791621e-01
1.179617251480396371e+05,2.673427587747305711e-01
1.179624406131463184e+05,2.675522192310154646e-01
1.179631560782529850e+05,2.677868149420546406e-01
1.179638715433596517e+05,2.679543833070825998e-01
1.179645870084663329e+05,2.681554653451161396e-01
1.179653024735730141e+05,2.684151963109094874e-01
1.179660179386796808e+05,2.685576294211832193e-01
1.179667334014315566e+05,2.688927661512391376e-01
1.179674488641834178e+05,2.690184424250101070e-01
1.179681643292900990e+05,2.693619575733174898e-01
1.179688797943967656e+05,2.697306079763789888e-01
1.179695952595034323e+05,2.699735821056694629e-01
1.179703107246101135e+05,2.701914209802058209e-01
1.179710261897167948e+05,2.706270987292784813e-01
1.179717416548234614e+05,2.708281807673120767e-01
1.179724571199301427e+05,2.712638585163847926e-01
1.179731725850368093e+05,2.717079146837089176e-01
1.179738880501434905e+05,2.721519708510329871e-01
1.179746035152501718e+05,2.727049464556252634e-01
1.179753189803568384e+05,2.731071105316922876e-01
1.179760344454635051e+05,2.735679235355191752e-01
1.179767499105701863e+05,2.741963049043740219e-01
1.179774653756768676e+05,2.746319826534467379e-01
1.179781808407835342e+05,2.750760388207708074e-01
1.179788963058902009e+05,2.755787439158547403e-01
1.179796117709968821e+05,2.762238821212122941e-01
1.179803272361035633e+05,2.768690203265700145e-01
1.179810427012102300e+05,2.775392937866818510e-01
1.179817581663168967e+05,2.780001067905087386e-01
1.179824736314235779e+05,2.788044349426429536e-01
1.179831890965302591e+05,2.796003846765256484e-01
1.179839045616369258e+05,2.803628207374028736e-01
1.179846200267435925e+05,2.813933661823248000e-01
1.179853354918502737e+05,2.825160742280121706e-01
1.179860509522473440e+05,2.832449966158837595e-01
1.179867664126444142e+05,2.839906758402581666e-01
1.179874818777510809e+05,2.847363550646326291e-01
1.179881973428577476e+05,2.855825753080238338e-01
1.179889128079644288e+05,2.864287955514149830e-01
1.179896282730711100e+05,2.870069064107614865e-01
1.179903437381777767e+05,2.876101525248621615e-01
1.179910592032844434e+05,2.881547497112029732e-01
1.179917746683911246e+05,2.887077253157952494e-01
1.179924901334978058e+05,2.892523225021361166e-01
1.179932055986044725e+05,2.897634060154714031e-01
1.179939210637111391e+05,2.902661111105552250e-01
1.179946365288178204e+05,2.907855730421419205e-01
1.179953519939245016e+05,2.913050349737286160e-01
1.179960674590311683e+05,2.917742263958069127e-01
1.179967829241378349e+05,2.921680120536225833e-01
1.179974983892445161e+05,2.925534192931869004e-01
1.179982138543511974e+05,2.930980164795277676e-01
1.179989293194578640e+05,2.936426136658686348e-01
1.179996447845645307e+05,2.941704540157067393e-01
1.180003602496712119e+05,2.945809965100252281e-01
1.180010757147778932e+05,2.951255936963660953e-01
1.180017911798845598e+05,2.956701908827069070e-01
1.180025066449912410e+05,2.962147880690478297e-01
1.180032221100979077e+05,2.966420873998690810e-01
1.180039375752045889e+05,2.970693867306903324e-01
1.180046530403112702e+05,2.975553349892713917e-01
1.180053685054179368e+05,2.981250674303664860e-01
1.180060839705246035e+05,2.986947998714615804e-01
1.180067994356312847e+05,2.992980459855621445e-01
1.180075148960283550e+05,2.995242632783499115e-01
1.180082303564254107e+05,2.997504805711377340e-01
1.180089458215320774e+05,2.998007510806461329e-01
1.180096612866387586e+05,2.996583179703723454e-01
1.180103767517454398e+05,2.995158848600985579e-01
1.180110922168521065e+05,2.993566949133220079e-01
1.180118076819587732e+05,2.992896675673108464e-01
1.180125231470654544e+05,2.990969639475286601e-01
1.180132386121721356e+05,2.985356099246850303e-01
1.180139540772788023e+05,2.976726328447910075e-01
1.180146695423854835e+05,2.968264126013998028e-01
1.180153850074921502e+05,2.959801923580086536e-01
1.180161004725988314e+05,2.951758642058744386e-01
1.180168159377055126e+05,2.941453187609525122e-01
1.180175314028121793e+05,2.931147733160305302e-01
1.180182468679188460e+05,2.920926062893600128e-01
1.180189623330255272e+05,2.908944924794101272e-01
1.180196777981322084e+05,2.896461081599517873e-01
1.180203932632388751e+05,2.883725885857393312e-01
1.180211087283455417e+05,2.870990690115268751e-01
1.180218241934522230e+05,2.857250084182975658e-01
1.180225396585589042e+05,2.846693277186214122e-01
1.180232551236655709e+05,2.835047275816771073e-01
1.180239705887722375e+05,2.827339131025485286e-01
1.180246860538789188e+05,2.816447187298667942e-01
1.180254015189856000e+05,2.808822826689896246e-01
1.180261169840922666e+05,2.800695760986039451e-01
1.180268324491989333e+05,2.793574105472351743e-01
1.180275479143056145e+05,2.846023003726102507e-01
1.180282633794122958e+05,2.898136765249798019e-01
1.180289788445189624e+05,2.953350541526510442e-01
1.180296943049160327e+05,3.008564317803222310e-01
1.180304097653130884e+05,3.063861878262448823e-01
1.180311252304197697e+05,3.119159438721674782e-01
1.180318406955264509e+05,3.180070539409337593e-01
1.180325561606331175e+05,3.240730287549458133e-01
1.180332716257397842e+05,3.301390035689579228e-01
1.180339870908464654e+05,3.363893035845008095e-01
1.180347025559531467e+05,3.430166324213566043e-01
1.180354180210598133e+05,3.495853123304525356e-01
1.180361334861664800e+05,3.561623706577998760e-01
1.180368489512731612e+05,3.631248362247115335e-01
1.180375644163798424e+05,3.701459507193829990e-01
1.180382798814865091e+05,3.773597688338366507e-01
1.180389953465931758e+05,3.842803423094913740e-01
1.180397108116998570e+05,3.915528093517047226e-01
1.180404262768065382e+05,3.984482475726052186e-01
1.180411417419132049e+05,4.054693620672766841e-01
1.180418572070198716e+05,4.123229081969201903e-01
1.180425726721265528e+05,4.133618320600934704e-01
1.180432881372332340e+05,4.142834580677472456e-01
1.180440036023399007e+05,4.151967056571496117e-01
1.180447190674465819e+05,4.155067071324514139e-01
1.180454345278436376e+05,4.157748165164961152e-01
1.180461499882407079e+05,4.160513043187922810e-01
1.180468654533473891e+05,4.160345474822894629e-01
1.180475809184540558e+05,4.159675201362782460e-01
1.180482963835607225e+05,4.159507632997754834e-01
1.180490118486674037e+05,4.155904913149653379e-01
1.180497273137740849e+05,4.147861631628311230e-01
1.180504427788807516e+05,4.134623730791102680e-01
1.180511582439874182e+05,4.121302045771380040e-01
1.180518737090940995e+05,4.105215482728695742e-01
1.180525891742007807e+05,4.089547840598581896e-01
1.180533046393074474e+05,4.073042356643327699e-01
1.180540201044141140e+05,4.056788225235616330e-01
1.180547355695207953e+05,4.040198957097848598e-01
1.180554510346274765e+05,4.021934005309800719e-01
1.180561664997341431e+05,3.999563628578568508e-01
1.180568819648408098e+05,3.977863525307447912e-01
1.180575974299474910e+05,3.954655306751075905e-01
1.180583128950541723e+05,3.932955203479955308e-01
1.180590283601608535e+05,3.910082121653639109e-01
1.180597438252675202e+05,3.890141486215311639e-01
1.180604592903741868e+05,3.870787340054583359e-01
1.180611747554808680e+05,3.851349409711339877e-01
1.180618902205875493e+05,3.831408774273011852e-01
1.180626056856942159e+05,3.812222196477310643e-01
1.180633211508008826e+05,3.792449129404011909e-01
1.180640366159075638e+05,3.775608508718702461e-01
1.180647520810142451e+05,3.756421930923000141e-01
1.180654675461209117e+05,3.742346188260652351e-01
1.180661830112275784e+05,3.727265035408136029e-01
1.180668984763342596e+05,3.712183882555619707e-01
1.180676139414409408e+05,3.696851377155561669e-01
1.180683294065476075e+05,3.681518871755503075e-01
1.180690448716542742e+05,3.666353934720472663e-01
1.180697603367609554e+05,3.651188997685442250e-01
1.180704758018676366e+05,3.638286233578289508e-01
1.180711912669743033e+05,3.629405110231808118e-01
1.180719067320809700e+05,3.620523986885326173e-01
1.180726221971876512e+05,3.611726647721358319e-01
1.180733376622943324e+05,3.605610402397838032e-01
1.180740531274009991e+05,3.596142789773758008e-01
1.180747685925076803e+05,3.589775191902696005e-01
1.180754840576143470e+05,3.587764371522360607e-01
1.180761995227210282e+05,3.585753551142024653e-01
1.180769149878277094e+05,3.585753551142024653e-01
1.180776304529343761e+05,3.581983262928895573e-01
1.180783459180410428e+05,3.581145421103756332e-01
1.180790613831477240e+05,3.580726500191185879e-01
1.180797768482544052e+05,3.582821104754035368e-01
1.180804923133610719e+05,3.587931939887388233e-01
1.180812077784677385e+05,3.545704711900343198e-01
1.180819232435744198e+05,3.503477483913297053e-01
1.180826387086811010e+05,3.458988082998374347e-01
1.180833541737877676e+05,3.416677070828814666e-01
1.180840696294752270e+05,3.371014691358696358e-01
1.180847850851626717e+05,3.325352311888577495e-01
1.180855005502693530e+05,3.273741255459965971e-01
1.180862160153760342e+05,3.222130199031355002e-01
