# r,k_smooth_cycles_per_km
1.178827858692554146e+05,1.265015479687315036e-01
1.178839613842848048e+05,1.281185826912513148e-01
1.178851368994560908e+05,1.304561613833913059e-01
1.178863124143435562e+05,1.325591443644921763e-01
1.178874879292310361e+05,1.353156439692021207e-01
1.178886634444023366e+05,1.380721435739120373e-01
1.178898389595736226e+05,1.408705352698789437e-01
1.178910144747449231e+05,1.439621716046447786e-01
1.178921899899162236e+05,1.472297547226899539e-01
1.178933655045198684e+05,1.504973378407351292e-01
1.178945410191235133e+05,1.541419497800932126e-01
1.178957165342948138e+05,1.576441286091775640e-01
1.178968920494661143e+05,1.611630642747647058e-01
1.178980675640697591e+05,1.650255150886591471e-01
1.178992430792410451e+05,1.684941802447378900e-01
1.179004185944123456e+05,1.719460885643138148e-01
1.179015941095836461e+05,1.755571868306663175e-01
1.179027696247549320e+05,1.794782865723205389e-01
1.179039451399262325e+05,1.833658726409691797e-01
1.179051206550975330e+05,1.869602140708189197e-01
1.179062961702688190e+05,1.911242879417636431e-01
1.179074716854401195e+05,1.952548481397028413e-01
1.179086471994761232e+05,1.972824253565411134e-01
1.179098227146474237e+05,1.991089205353459013e-01
1.179109982298187097e+05,2.013292013719663598e-01
1.179121737449900102e+05,2.029629929309889336e-01
1.179133492601613107e+05,2.040521873036706679e-01
1.179145247753325966e+05,2.056357083531848706e-01
1.179157002905038971e+05,2.068673358361403647e-01
1.179168758056751976e+05,2.077722050072913218e-01
1.179180513197112014e+05,2.087273446879507055e-01
1.179192268337472051e+05,2.093724828933083704e-01
1.179204023500537733e+05,2.100259995169173610e-01
1.179215778663603705e+05,2.106795161405264072e-01
1.179227533803963743e+05,2.109978960340795351e-01
1.179239288944323780e+05,2.117603320949567325e-01
1.179251044107389753e+05,2.125981739200965559e-01
1.179262799270455434e+05,2.132097984524485845e-01
1.179274554410815472e+05,2.133522315627223442e-01
1.179286309551175509e+05,2.136538546197726818e-01
1.179298064714241482e+05,2.141314244601023598e-01
1.179309819854601519e+05,2.141314244601023598e-01
1.179321574994961557e+05,2.142571007338733291e-01
1.179333330158027529e+05,2.149273741939851656e-01
1.179345085321093211e+05,2.150781857225103066e-01
1.179356840461453248e+05,2.150614288860075163e-01
1.179368595601813286e+05,2.150949425590130970e-01
1.179380350764879258e+05,2.155473771445886033e-01
1.179392105905239296e+05,2.154803497985774141e-01
1.179403861045599333e+05,2.155892692358456209e-01
1.179415616208665160e+05,2.158490002016389409e-01
1.179427371371730987e+05,2.159244059659015114e-01
1.179439126512091025e+05,2.160584606579238898e-01
1.179450881652451062e+05,2.162762995324602477e-01
1.179462636815517035e+05,2.164941384069966057e-01
1.179474391978582717e+05,2.167622477910413348e-01
1.179486147118942754e+05,2.169717082473262837e-01
