# r,k_smooth_cycles_per_km
1.178682050930949772e+05,1.270880372463293606e-01
1.178689825072904059e+05,1.270545235733237521e-01
1.178697599214858201e+05,1.270210099003181714e-01
1.178705373356036725e+05,1.269874962273125907e-01
1.178713147497215250e+05,1.269874962273125907e-01
1.178720921639945154e+05,1.270629019915751612e-01
1.178728695784226147e+05,1.270545235733237799e-01
1.178736469925404817e+05,1.270461451550723708e-01
1.178744244066583342e+05,1.269958746455639997e-01
1.178752018207761867e+05,1.269791178090611816e-01
1.178759792348940537e+05,1.269623609725583913e-01
1.178767566490119207e+05,1.269456041360556009e-01
1.178775340631297731e+05,1.269288472995528105e-01
1.178783114775578724e+05,1.269120904630500202e-01
1.178790888919859717e+05,1.268953336265472021e-01
1.178798663064140710e+05,1.268785767900444117e-01
1.178806437202217057e+05,1.268618199535416213e-01
1.178814211340293114e+05,1.268450631170388310e-01
1.178821985484574107e+05,1.268283062805360129e-01
1.178829759628855099e+05,1.268450631170388032e-01
1.178837533773136092e+05,1.268618199535416213e-01
1.178845307911212440e+05,1.268785767900444117e-01
1.178853082049288496e+05,1.268618199535416213e-01
1.178860856193569489e+05,1.268450631170388310e-01
1.178868630331645545e+05,1.268618199535416213e-01
1.178876404469721747e+05,1.268450631170388032e-01
1.178884178614002885e+05,1.267110084250164526e-01
1.178891952758283878e+05,1.266942515885136622e-01
1.178899726902564871e+05,1.266774947520108718e-01
1.178907501046845864e+05,1.267026300067650713e-01
1.178915275191126857e+05,1.267193868432678616e-01
1.178923049335407995e+05,1.267026300067650435e-01
1.178930823479688988e+05,1.266858731702622531e-01
1.178938597623969981e+05,1.266774947520108441e-01
1.178946371755841246e+05,1.266942515885136622e-01
1.178954145887712511e+05,1.267110084250164526e-01
1.178961920031993650e+05,1.266942515885136622e-01
1.178969694176274643e+05,1.266774947520108718e-01
1.178977468320555636e+05,1.266607379155080815e-01
1.178985242464836629e+05,1.266774947520108441e-01
1.178993016609117622e+05,1.268534415352902400e-01
1.179000790753398760e+05,1.268366846987874219e-01
1.179008564897679753e+05,1.268199278622846315e-01
1.179016339041960746e+05,1.268450631170388310e-01
1.179024113173832011e+05,1.268953336265472021e-01
1.179031887305703276e+05,1.273896603033796704e-01
1.179039661449984415e+05,1.278839869802121665e-01
1.179047435594265407e+05,1.284369625848044150e-01
1.179055209738546400e+05,1.284537194213072053e-01
1.179062983882827393e+05,1.287720993148603332e-01
1.179070758027108386e+05,1.289648029346424918e-01
1.179078532158979797e+05,1.289229108433855020e-01
1.179086306303260790e+05,1.294339943567207885e-01
1.179094080447541783e+05,1.294172375202179981e-01
1.179101854591822776e+05,1.294004806837151800e-01
1.179109628736103768e+05,1.298780505240448579e-01
1.179117402880384761e+05,1.298612936875420676e-01
1.179125177024665900e+05,1.304058908738829348e-01
1.179132951168946893e+05,1.309588664784752110e-01
1.179140725313227886e+05,1.315034636648160504e-01
1.179148499432689423e+05,1.320145471781513369e-01
1.179156273576970561e+05,1.317799514671121885e-01
1.179164047721251554e+05,1.322910349804474472e-01
1.179171821865532547e+05,1.329026595127995314e-01
1.179179596009813540e+05,1.334053646078833810e-01
1.179187370154094533e+05,1.338996912847158771e-01
1.179195144298375671e+05,1.339164481212186675e-01
1.179202918442656664e+05,1.339080697029672584e-01
1.179210692586937657e+05,1.338326639387047157e-01
1.179218466731218796e+05,1.337907718474476981e-01
1.179226240875499789e+05,1.339750970489784754e-01
1.179234014994961180e+05,1.342850985242801665e-01
1.179241789139242319e+05,1.351145619311685808e-01
1.179249563283523312e+05,1.350894266764143814e-01
1.179257337427804305e+05,1.473721878329637414e-01
1.179265111572085298e+05,1.596633274077644549e-01
1.179272885716366291e+05,1.714350050509785284e-01
1.179280659860647429e+05,1.836926309527737167e-01
1.179288434004928422e+05,1.946432236073508126e-01
1.179296208149209415e+05,2.061467918665201293e-01
1.179303982268670952e+05,2.171141413575999879e-01
1.179311756412952091e+05,2.287601427270431198e-01
1.179319530557233084e+05,2.409423628645756821e-01
1.179327304701514076e+05,2.525799858157674049e-01
1.179335078845795069e+05,2.639997698924227976e-01
1.179342852990076062e+05,2.755787439158546848e-01
1.179350627134357055e+05,2.873169078860631775e-01
1.179358401278638048e+05,2.990634502745230794e-01
1.179366175422919187e+05,3.110026962827650565e-01
1.179373949567200325e+05,3.230005912187668971e-01
1.179381723711481318e+05,3.354425423220928071e-01
1.179389497830942710e+05,3.473650314938320216e-01
1.179397271975223848e+05,3.589607623537667824e-01
1.179405046119504841e+05,3.707324399969809114e-01
1.179412820263785834e+05,3.776111213813785894e-01
1.179420594408066827e+05,3.727097467043108403e-01
1.179428368552347820e+05,3.677413446812318187e-01
1.179436142696628958e+05,3.627729426581528527e-01
1.179443916840909951e+05,3.575029175780236046e-01
1.179451690985190944e+05,3.530707343230340411e-01
1.179459465129472082e+05,3.479180070984243534e-01
1.179467239273753075e+05,3.433601475696638761e-01
1.179475013393214613e+05,3.380063383070205929e-01
1.179482787537495606e+05,3.326776642991315369e-01
1.179490561681776599e+05,3.273406118729911274e-01
1.179498335801238136e+05,3.221795062301299750e-01
1.179506109945519129e+05,3.168508322222409190e-01
1.179513884114619577e+05,3.113462114310724393e-01
1.179521658283720317e+05,3.058332122216526061e-01
1.179529432403181854e+05,3.002280504114673287e-01
1.179537206522643246e+05,2.945977533465279907e-01
1.179544980691743840e+05,2.888250231713148652e-01
1.179552754811205377e+05,2.831612124333698355e-01
1.179560528930666915e+05,2.778241600072293704e-01
1.179568303099767363e+05,2.720598082502676540e-01
1.179576077268867812e+05,2.715235894821781404e-01
1.179583851388329349e+05,2.709873707140886823e-01
1.179591625507790886e+05,2.703338540904796083e-01
1.179599399676891480e+05,2.696803374668705899e-01
1.179607173845992074e+05,2.694792554288369946e-01
1.179614947965453612e+05,2.692446597177978740e-01
1.179622722084915149e+05,2.691776323717867125e-01
1.179630496254015598e+05,2.688927661512391376e-01
1.179638270373477135e+05,2.688341172234793297e-01
1.179646044492938672e+05,2.689179014059933648e-01
1.179653818662039121e+05,2.688173603869765671e-01
1.179661592831139569e+05,2.686581704401999615e-01
1.179669366950601107e+05,2.686665488584513706e-01
1.179677141070062644e+05,2.686749272767027796e-01
1.179684915239163238e+05,2.686833056949541887e-01
1.179692689408263832e+05,2.687838467139709864e-01
1.179700463527725369e+05,2.689262798242447738e-01
1.179708237647186907e+05,2.691022266075241420e-01
1.179716011816287355e+05,2.691608755352838944e-01
1.179723785935748892e+05,2.694457417558314138e-01
1.179731560055210430e+05,2.696803374668705899e-01
1.179739334224310878e+05,2.699652036874181094e-01
